,NORD,CNOR,CSUD,SUD,SARD,SICI
2015-01-01 00:00:00,-10849775.7537089,-2324570.8173255,-4498271.46754598,-2375033.89646309,-862658.826887444,-1821500.76459834
2015-01-01 01:00:00,-10254220.6029671,-2186856.6538604,-4131217.17403678,-2125827.11717047,-820727.061509955,-1684800.61167867
2015-01-01 02:00:00,-9705526.58989968,-2044213.9288169,-3846899.21559152,-1995068.59572708,-796562.320629492,-1556175.38041848
2015-01-01 03:00:00,-9387693.86378702,-1981642.68361925,-3659317.77532773,-1916758.42678815,-778164.672563259,-1518625.15103898
2015-01-01 04:00:00,-9504555.15074177,-1965714.1634651,-3615054.2935092,-1901206.77929262,-769931.765377489,-1485700.15291967
2015-01-01 05:00:00,-10013416.3630563,-2015785.62259883,-3689790.7201319,-2039655.08446946,-791698.824033117,-1491775.11468975
2015-01-01 06:00:00,-10324249.0145288,-2032356.84708435,-3714372.06883692,-1960965.20608077,-814096.437940747,-1471325.30395865
2015-01-01 07:00:00,-10065441.3552146,-2068713.34914506,-3850434.5311911,-2119654.32899618,-815454.191337115,-1604601.30357856
2015-01-01 08:00:00,-10509298.5510041,-2217212.17590405,-4321659.14160273,-2499963.41116847,-842606.967597129,-1857977.44107263
2015-01-01 09:00:00,-11363850.0584219,-2415353.81055506,-4666202.07669469,-2606031.20409465,-853924.621372016,-2026978.97026931
2015-01-01 10:00:00,-12270099.0729506,-2468710.65763941,-5110574.14553161,-2747996.41017542,-901021.059312763,-2209304.27422796
2015-01-01 11:00:00,-12371683.2323757,-2486925.18002548,-5306784.06631109,-2940341.6569993,-916322.474389863,-2019529.44031245
2015-01-01 12:00:00,-11746323.3192418,-2283139.8403139,-5075302.67798563,-2688962.51371233,-847362.23242532,-1939803.50962962
2015-01-01 13:00:00,-11333518.8554104,-2253068.74691594,-4514875.94940444,-2435790.33902846,-781333.892472675,-1955777.89230888
2015-01-01 14:00:00,-11193327.2611266,-2374712.45197651,-4465814.40263794,-2379101.68938926,-821976.48066233,-1883502.29379503
2015-01-01 15:00:00,-11805551.5074177,-2591141.63465101,-4616542.93509196,-2400067.79292617,-869317.653774888,-1857001.52919669
2015-01-01 16:00:00,-14020441.3552146,-3021713.34914506,-5393434.5311911,-2673654.32899618,-980454.191337115,-2116601.30357856
2015-01-01 17:00:00,-14663551.5074177,-3173141.63465101,-5527542.93509196,-2712067.79292617,-1034317.65377489,-2170001.52919669
2015-01-01 18:00:00,-14790494.0871727,-3248141.08250609,-5551232.41302154,-2786791.23648461,-1031578.62764448,-2202951.82375189
2015-01-01 19:00:00,-14198771.811824,-3144998.20566289,-5510759.74289367,-2782894.72078616,-1034044.57865043,-2236801.98043293
2015-01-01 20:00:00,-13429355.9712491,-2978212.72804897,-5354969.66367315,-2828239.96761004,-997345.993727532,-2182027.14651743
2015-01-01 21:00:00,-12363078.2465978,-2731355.60489216,-4981442.33380102,-2596136.48330849,-924880.042721584,-2064176.98983638
2015-01-01 22:00:00,-11094829.232069,-2418998.75780781,-4440070.26496409,-2326171.27722772,-849783.604780836,-1907851.68587773
2015-01-01 23:00:00,-10284354.8903111,-2194799.32748106,-4031235.14051011,-2057135.81083555,-773245.195172955,-1703704.3828836
