,FR,CH,AT,SI,GR
2015-01-01 00:00:00,-0.04656,-0.04656,-0.04656,-0.04656,-0.04656
2015-01-01 01:00:00,-0.041065,-0.041065,-0.041065,-0.041065,-0.041065
2015-01-01 02:00:00,-0.037715,-0.037715,-0.037715,-0.037715,-0.037715
2015-01-01 03:00:00,-0.03565,-0.03565,-0.03565,-0.03565,-0.03565
2015-01-01 04:00:00,-0.0333,-0.0333,-0.0333,-0.0333,-0.0333
2015-01-01 05:00:00,-0.03405,-0.03405,-0.03405,-0.03405,-0.03405
2015-01-01 06:00:00,-0.03677,-0.03677,-0.03677,-0.03677,-0.03677
2015-01-01 07:00:00,-0.03754,-0.03754,-0.03754,-0.03754,-0.03754
2015-01-01 08:00:00,-0.036745,-0.036745,-0.036745,-0.036745,-0.036745
2015-01-01 09:00:00,-0.03679,-0.03679,-0.03679,-0.03679,-0.03679
2015-01-01 10:00:00,-0.037215,-0.037215,-0.037215,-0.037215,-0.037215
2015-01-01 11:00:00,-0.03717,-0.03717,-0.03717,-0.03717,-0.03717
2015-01-01 12:00:00,-0.03607,-0.03607,-0.03607,-0.03607,-0.03607
2015-01-01 13:00:00,-0.035275,-0.035275,-0.035275,-0.035275,-0.035275
2015-01-01 14:00:00,-0.038565,-0.038565,-0.038565,-0.038565,-0.038565
2015-01-01 15:00:00,-0.043915,-0.043915,-0.043915,-0.043915,-0.043915
2015-01-01 16:00:00,-0.052305,-0.052305,-0.052305,-0.052305,-0.052305
2015-01-01 17:00:00,-0.059635,-0.059635,-0.059635,-0.059635,-0.059635
2015-01-01 18:00:00,-0.060655,-0.060655,-0.060655,-0.060655,-0.060655
2015-01-01 19:00:00,-0.0585,-0.0585,-0.0585,-0.0585,-0.0585
2015-01-01 20:00:00,-0.056,-0.056,-0.056,-0.056,-0.056
2015-01-01 21:00:00,-0.05088,-0.05088,-0.05088,-0.05088,-0.05088
2015-01-01 22:00:00,-0.044985,-0.044985,-0.044985,-0.044985,-0.044985
2015-01-01 23:00:00,-0.041365,-0.041365,-0.041365,-0.041365,-0.041365
2015-01-02 00:00:00,-0.037905,-0.037905,-0.037905,-0.037905,-0.037905
2015-01-02 01:00:00,-0.03609,-0.03609,-0.03609,-0.03609,-0.03609
2015-01-02 02:00:00,-0.035555,-0.035555,-0.035555,-0.035555,-0.035555
2015-01-02 03:00:00,-0.035185,-0.035185,-0.035185,-0.035185,-0.035185
2015-01-02 04:00:00,-0.03552,-0.03552,-0.03552,-0.03552,-0.03552
2015-01-02 05:00:00,-0.037305,-0.037305,-0.037305,-0.037305,-0.037305
2015-01-02 06:00:00,-0.0423,-0.0423,-0.0423,-0.0423,-0.0423
2015-01-02 07:00:00,-0.050195,-0.050195,-0.050195,-0.050195,-0.050195
2015-01-02 08:00:00,-0.054755,-0.054755,-0.054755,-0.054755,-0.054755
2015-01-02 09:00:00,-0.054805,-0.054805,-0.054805,-0.054805,-0.054805
2015-01-02 10:00:00,-0.051545,-0.051545,-0.051545,-0.051545,-0.051545
2015-01-02 11:00:00,-0.046745,-0.046745,-0.046745,-0.046745,-0.046745
2015-01-02 12:00:00,-0.043325,-0.043325,-0.043325,-0.043325,-0.043325
2015-01-02 13:00:00,-0.04268,-0.04268,-0.04268,-0.04268,-0.04268
2015-01-02 14:00:00,-0.046335,-0.046335,-0.046335,-0.046335,-0.046335
2015-01-02 15:00:00,-0.05097,-0.05097,-0.05097,-0.05097,-0.05097
2015-01-02 16:00:00,-0.05699,-0.05699,-0.05699,-0.05699,-0.05699
2015-01-02 17:00:00,-0.06047,-0.06047,-0.06047,-0.06047,-0.06047
2015-01-02 18:00:00,-0.057475,-0.057475,-0.057475,-0.057475,-0.057475
2015-01-02 19:00:00,-0.05262,-0.05262,-0.05262,-0.05262,-0.05262
2015-01-02 20:00:00,-0.046725,-0.046725,-0.046725,-0.046725,-0.046725
2015-01-02 21:00:00,-0.04172,-0.04172,-0.04172,-0.04172,-0.04172
2015-01-02 22:00:00,-0.03944,-0.03944,-0.03944,-0.03944,-0.03944
2015-01-02 23:00:00,-0.037565,-0.037565,-0.037565,-0.037565,-0.037565
2015-01-03 00:00:00,-0.032755,-0.032755,-0.032755,-0.032755,-0.032755
2015-01-03 01:00:00,-0.027765,-0.027765,-0.027765,-0.027765,-0.027765
2015-01-03 02:00:00,-0.02441,-0.02441,-0.02441,-0.02441,-0.02441
2015-01-03 03:00:00,-0.01966,-0.01966,-0.01966,-0.01966,-0.01966
2015-01-03 04:00:00,-0.018495,-0.018495,-0.018495,-0.018495,-0.018495
2015-01-03 05:00:00,-0.022275,-0.022275,-0.022275,-0.022275,-0.022275
2015-01-03 06:00:00,-0.02773,-0.02773,-0.02773,-0.02773,-0.02773
2015-01-03 07:00:00,-0.03218,-0.03218,-0.03218,-0.03218,-0.03218
2015-01-03 08:00:00,-0.034735,-0.034735,-0.034735,-0.034735,-0.034735
2015-01-03 09:00:00,-0.03639,-0.03639,-0.03639,-0.03639,-0.03639
2015-01-03 10:00:00,-0.036113,-0.036113,-0.036113,-0.036113,-0.036113
2015-01-03 11:00:00,-0.035384,-0.035384,-0.035384,-0.035384,-0.035384
2015-01-03 12:00:00,-0.032171,-0.032171,-0.032171,-0.032171,-0.032171
2015-01-03 13:00:00,-0.029565,-0.029565,-0.029565,-0.029565,-0.029565
2015-01-03 14:00:00,-0.03379,-0.03379,-0.03379,-0.03379,-0.03379
2015-01-03 15:00:00,-0.03881,-0.03881,-0.03881,-0.03881,-0.03881
2015-01-03 16:00:00,-0.044875,-0.044875,-0.044875,-0.044875,-0.044875
2015-01-03 17:00:00,-0.052355,-0.052355,-0.052355,-0.052355,-0.052355
2015-01-03 18:00:00,-0.05389,-0.05389,-0.05389,-0.05389,-0.05389
2015-01-03 19:00:00,-0.05184,-0.05184,-0.05184,-0.05184,-0.05184
2015-01-03 20:00:00,-0.048835,-0.048835,-0.048835,-0.048835,-0.048835
2015-01-03 21:00:00,-0.043405,-0.043405,-0.043405,-0.043405,-0.043405
2015-01-03 22:00:00,-0.03896,-0.03896,-0.03896,-0.03896,-0.03896
2015-01-03 23:00:00,-0.036375,-0.036375,-0.036375,-0.036375,-0.036375
2015-01-04 00:00:00,-0.03124,-0.03124,-0.03124,-0.03124,-0.03124
2015-01-04 01:00:00,-0.026035,-0.026035,-0.026035,-0.026035,-0.026035
2015-01-04 02:00:00,-0.02471,-0.02471,-0.02471,-0.02471,-0.02471
2015-01-04 03:00:00,-0.02382,-0.02382,-0.02382,-0.02382,-0.02382
2015-01-04 04:00:00,-0.025905,-0.025905,-0.025905,-0.025905,-0.025905
2015-01-04 05:00:00,-0.03383,-0.03383,-0.03383,-0.03383,-0.03383
2015-01-04 06:00:00,-0.043055,-0.043055,-0.043055,-0.043055,-0.043055
2015-01-04 07:00:00,-0.050419,-0.050419,-0.050419,-0.050419,-0.050419
