,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,-11071.790269277308,0.0,-17277.000913477306,-1113.2910562424486,-6021.922736150609,0.0,-2244.631983889981,-3217.5472859765546,-3706.211078166588,-1179.5274150256585,-618.9625972759079,-8094.89938545709,-1258.7292124970998,-3677.217649479834,-732.0842847806193,-2706.151375317517,0.0,-1420.4154403797781,-4020.852932582748,-4910.380145250306
2015-01-01 01:00:00,-16390.3167290656,0.0,-19753.20401031263,0.0,-8448.712894007127,-3681.080953753167,-2669.782044992,-3377.8781229976357,-5855.951347955042,-1711.9038864246293,-1835.427811815321,-8799.040197774524,-980.560746030725,-3701.321659051449,0.0,-5590.152742528052,-4447.523024591138,-7003.642584092425,-2353.3645168137155,-10510.076691872602
2015-01-01 02:00:00,-14777.256108489846,0.0,-28565.930993216225,0.0,-6191.887280449919,-1205.7495021202474,-7739.541570282124,-7788.379742600362,-9911.253709363138,-3466.548469538401,-1339.6849493792308,-16686.595799183513,-2927.4205572386236,-19843.11960927218,-780.6610987225354,-6086.263351484772,-1630.8900137199237,-1288.505949950705,-10067.948831237898,-12742.400777850786
2015-01-01 03:00:00,-17695.80904879206,0.0,-53904.098674463756,0.0,-14298.979250776638,-2011.9069240390095,-4876.021896477818,-8975.609411858055,-10773.379738791755,-1736.8208896138344,-1130.7321171743038,-27364.266785161744,-1234.5055549245183,-13551.55002634832,0.0,-12236.038045323163,-2696.5982231232642,-2064.4875281157933,-8408.781911599628,-10219.109966988635
2015-01-01 04:00:00,-31128.418895069593,-814.1729051272727,-49704.74267663286,0.0,-11281.475965000816,-1278.5234750428378,-5850.516703814329,-9792.067322009632,-16125.792791162168,-1391.207086345424,-3961.517252952341,-25421.869398234223,-1782.0966028639523,-10810.63525249478,-827.807639222079,-13420.3322001961,-1727.0016400146737,-12707.044647954344,-17934.456950446955,-11926.001343739357
2015-01-01 05:00:00,-105646.41368819373,-3282.022892507365,-179827.8196559398,-2131.288296059635,-37968.44759327021,-8401.773801536308,-29696.50444620858,-42566.524135816,-19159.978143949742,-14639.429330589614,-6476.626130969198,-116293.96802363246,-6993.699372279254,-61497.14372365527,-1523.5626863820223,-32520.948576204377,-8837.472240775356,-7788.206409845092,-73563.57500120495,-85465.89133330685
2015-01-01 06:00:00,-222324.29785114093,0.0,-267818.02998037083,-5444.289946395014,-85377.0157469105,-18439.31226349791,-59977.755901372955,-83706.57944647661,-48311.011633507034,-15920.617031971535,-15327.215834263894,-185875.7516576881,-26199.085460523846,-156340.13223389786,-2821.1615883996815,-91473.79432346902,-15903.295458239376,-48861.214287848015,-83003.470220318,-101891.00456777084
2015-01-01 07:00:00,-394717.8087960609,-5766.764629221129,-437935.01636683114,0.0,-123363.33106489491,-43836.45692222263,-68492.21139787942,-124971.3659005439,-69633.8690100614,-32398.165130784877,-13689.319609751688,-292968.15825772897,-46257.00967191103,-157093.2352591551,0.0,-135714.20409122546,-17899.94622035056,-174744.63618445877,-143633.62457507185,-153028.75932806922
2015-01-01 08:00:00,-298818.88569833623,0.0,-537953.1791498214,-31089.842910557396,-104937.31614020925,-58372.45381072978,-102560.20479363046,-126070.74566152102,-138620.94051844813,-42045.71573704413,-25787.38540846908,-237109.6350314636,-26262.275387695456,-198983.10303282784,-7856.758161612234,-147509.93758293407,-34925.922742332754,-45006.23813984935,-165940.16762233348,-117829.8557350938
2015-01-01 09:00:00,-289662.7224418454,0.0,-378308.56762100116,-1093.0452408443612,-98518.24826169934,-21687.724196234845,-74282.27886392537,-79469.19433690296,-99727.90308450967,-17891.24483866592,-7123.83459523535,-234348.21875002084,-14052.904410811234,-110903.34210040179,0.0,-87749.00572308886,-10817.534415211747,-53760.245807594525,-107446.87143500194,-191545.0641662139
2015-01-01 10:00:00,-113616.86357982541,-2911.108303228696,-241682.01971003614,0.0,-53126.12737306422,-35705.57073779236,-45401.132204212765,-57512.34916999371,-57668.697916931276,-10816.552551150076,-13759.603009522258,-137537.05475299497,-16705.69723693425,-73599.55057401632,-1571.9311830473368,-59298.53543347391,-24978.772931128013,-48822.65626940672,-50553.614027570125,-119960.76310438335
2015-01-01 11:00:00,-94642.22744761076,0.0,-154282.6873790947,-5317.657658614026,-30555.09310211173,-13301.153514653734,-11730.792783295587,-28141.56827578552,-39706.46125539122,-10964.589918082213,-8998.93249083902,-68973.28602564325,-10858.352044340103,-53894.29574729885,0.0,-28413.211821890145,-3606.3998254109692,-17430.33857952307,-44203.71952674773,-52939.36991900201
2015-01-01 12:00:00,-100368.93515677696,0.0,-163184.68745708483,-1256.7307800068595,-46547.613984342024,-9685.227739090285,-18781.285887432994,-43807.338312891115,-28270.808568919645,-13854.852151082669,-6705.026885768243,-98052.9375378114,-12191.787816508808,-67375.60891773914,-701.1354131413542,-46586.69859354111,-8443.623000601388,-21428.01683255477,-38799.86380057086,-102624.92808212119
2015-01-01 13:00:00,-169007.44613927143,-1634.2499279487506,-169427.573627312,0.0,-58682.895959149166,-12967.072265833529,-36019.873254503786,-55797.3478292357,-38456.441582151725,-14017.041637264543,-17517.970051908127,-175672.79917431372,-10780.61425045663,-74442.51928581027,0.0,-62846.79160063166,-7945.070668271118,-18811.478789343186,-93938.71401667524,-94472.83904352724
2015-01-01 14:00:00,-193700.9496661717,-4271.4156161159435,-328754.9338633129,-2197.436584380189,-73798.09999533456,-39418.51966623062,-72744.23321220514,-103230.14560309396,-63753.436502452474,-4935.1487085928375,-8276.249783627325,-189321.18353725018,-14072.880553132183,-115070.41499933337,-3444.457245049581,-51148.33288284339,-18733.378826100743,-40693.496730509476,-80101.92109937474,-126287.11589417473
2015-01-01 15:00:00,-255947.36241350305,0.0,-397932.55995667836,-11887.368668433975,-93264.92859443468,-43614.55263049436,-72079.63308672894,-72851.56222239998,-120896.74219206722,-20775.14402006032,-18248.267303996647,-219044.3074118081,-14359.37942327185,-156085.66191811982,-12933.427174037068,-70562.41486109675,-10704.738327668949,-22887.572928275928,-124483.2001126845,-110736.52273905218
2015-01-01 16:00:00,-282421.5795698955,0.0,-416759.9264245804,0.0,-100306.45223691262,-42560.77846907554,-83893.25052920908,-90543.05023331392,-115817.14339346808,-15986.051448313017,-27239.655397433875,-208126.57281415444,-35322.78098945716,-105202.89117781758,-3698.5889625993486,-96760.05491258437,-2881.007091163594,-104955.74408719459,-172831.0027481914,-192200.45848888645
2015-01-01 17:00:00,-378786.9749230672,0.0,-416155.4697767232,0.0,-87341.53188239947,-15719.327569943935,-70116.16998810529,-89687.33389337375,-79403.55971843233,-11017.20966598507,-25465.773244984055,-242406.69961828695,-26723.27726890593,-139475.3605599234,0.0,-73976.66946291794,-10298.408325915672,-56098.26343030503,-100328.43972588898,-83042.14030503946
2015-01-01 18:00:00,-205597.48629598468,0.0,-329214.0862858848,-32149.47136626643,-84293.67350722787,-39959.161344151005,-28822.871885109915,-68721.47234418648,-114638.53746866969,-16837.825644621757,-10191.006787186445,-226980.15313894275,-22679.49233996712,-120877.34988001609,0.0,-93994.21049982791,-24741.9926444944,-60633.99974486691,-93067.27379900141,-227990.44382569904
2015-01-01 19:00:00,-156079.55751917575,0.0,-283561.6484482339,-1144.0955719764872,-40382.240301256585,-25195.60264999588,-36708.21523204747,-99717.84478896634,-71666.21629170608,-27711.36093378992,-11757.583753018987,-151287.4090875716,-26436.742630292,-82743.79298703016,-426.72616712002144,-61958.89712568808,-6940.735980425,-61381.19243447246,-95323.73881951705,-126659.25886853908
2015-01-01 20:00:00,-150807.25833391224,-16359.08310193643,-153845.48492513775,-1661.0849654523367,-30555.725383528097,-13140.910508679757,-34698.38837173316,-35329.148636408274,-46647.922379130236,-5950.126229736784,-10489.051012121981,-111187.93660835999,-6424.196619475065,-49224.90747588704,-2304.033818857702,-29874.622590280433,-6967.735869607852,-20421.37399724235,-38361.33767078907,-36511.93276242662
2015-01-01 21:00:00,-39842.85704248897,0.0,-70988.1291513307,0.0,-16976.164227673868,-4491.954420065777,-15514.97527981864,-24926.840158447056,-16910.579296312175,-6784.370333357536,-5341.130322871658,-55527.1408030071,-4635.780345642331,-35132.57962744831,0.0,-23165.570105497172,-3491.8050858921933,-28125.046478768865,-21745.53737271182,-17716.987585694707
2015-01-01 22:00:00,-50578.47008491617,-876.5630453668438,-48377.278020972524,0.0,-14232.91754293469,-12032.030721207588,-11595.927866602005,-16464.056138952114,-19573.8697661318,-3338.422311793691,-2577.456073422424,-38082.199077056306,-2464.920774875107,-30246.236271146496,0.0,-13619.694349489178,-816.347550147417,-6867.931603244192,-34654.71606243036,-56929.23811871575
2015-01-01 23:00:00,-25618.872066575022,0.0,-41629.80859353619,0.0,-11505.610886368353,-5114.940450297828,-7177.591050920869,-15046.842201022682,-15527.5417927501,-2544.359418757331,-97.92204271489203,-25790.468548448283,-3595.4400025855225,-13434.053053408035,0.0,-14328.827099014294,-2533.477413282598,-7430.889850543998,-8713.457620507486,-23359.687911987166
2015-01-02 00:00:00,-7499.751448016575,0.0,-22312.92386133141,-2023.74203861596,-5368.377468293689,-293.811481041523,-1191.9884236942567,-3114.999198464018,-3958.0554853775434,-276.7907710168701,-830.9135914595822,-10090.502668563347,-138.2342483846823,-5625.948090820422,0.0,-3154.806674838016,-526.0320575178438,-539.2147044137814,-7942.047054332067,-2912.981267539189
2015-01-02 01:00:00,-8597.07461814501,0.0,-16484.12403378729,0.0,-6247.164459202533,0.0,-1418.1493132772084,-5066.24224483314,-4175.302275567322,-985.0029794438116,-1438.0896942743645,-7886.849599057093,-420.9653043777926,-4621.578185742601,0.0,-5321.368595447154,0.0,-3692.7048947842436,-6955.008783321577,-9533.225833490033
2015-01-02 02:00:00,-18188.83545116129,0.0,-24476.661755799425,0.0,-5578.829844047225,-3700.2433953642153,-3932.7303309702475,-3759.20272372565,-3955.262040866189,-1298.3416829311054,-1721.1061939956314,-14863.937404930526,-3205.702528594756,-7125.979616067441,0.0,-9659.769611066473,-1914.1984554985604,0.0,-7945.12169897606,-15657.40397229189
2015-01-02 03:00:00,-22125.92815864795,0.0,-37099.04358928859,0.0,-8889.255638197277,0.0,-6817.521142060268,-6947.944449538782,-4372.343582810198,-193.4037994997033,-1234.2747540686244,-23795.95585609374,-6524.7003150422415,-9832.903230419519,0.0,-4358.085316159662,-634.4914390600572,-6772.993224902847,-11645.184968821204,-30952.686781835764
