,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,-21926.377752829572,0.0,-51865.25735711445,-1113.2910562424486,-33419.2954430131,0.0,-5515.485720326843,-18763.53140377992,-15146.819095010744,-4221.248273678986,-4747.32399859394,-17337.062925218495,-6029.238828093864,-8165.999524481007,-2264.924135604192,-10108.551157627024,0.0,-1789.7932619345447,-8102.997701461132,-4910.380145250306
2015-01-01 01:00:00,-32459.09354761217,0.0,-59298.77614483786,0.0,-46887.023412476534,-10585.407292103324,-6560.159906489203,-19698.52083145707,-23932.53752307533,-6126.4971320035975,-14077.378079169419,-18845.14017115606,-4696.828249139213,-8219.52731354939,0.0,-20881.442735317647,-11005.822639214919,-8824.933853616058,-4742.602524930644,-10510.076691872602
2015-01-01 02:00:00,-29264.616805842546,0.0,-85754.42983585148,0.0,-34362.53161020554,-3467.2830433626646,-19017.518826756295,-45418.91537127519,-40506.048839167015,-12405.953059043728,-10275.12573252975,-35738.12935808289,-14022.172135695908,-44065.62807519914,-2415.2112003794864,-22734.61307760572,-4035.7938870295893,-1623.5808212333575,-20289.36835189012,-12742.400777850786
2015-01-01 03:00:00,-35044.46746272054,0.0,-161819.17014158797,0.0,-79353.69367104865,-5785.489233275838,-11981.308889405269,-52342.3944075296,-44029.449619490355,-6215.669164258056,-8672.497723557432,-58606.78342823245,-5913.208934336715,-30093.935583822407,0.0,-45706.46626643611,-6672.991147841236,-2601.355745739861,-16945.7430162742,-10219.109966988635
2015-01-01 04:00:00,-61646.170577810706,-1071.0954039642322,-149212.77620479412,0.0,-62607.74088719299,-3676.553676996704,-14375.827114652402,-57103.67132916589,-65904.089383973,-4978.79950627332,-30384.074915921585,-54446.69889605875,-8536.137817987019,-24007.184438402146,-2561.0732817102667,-50130.27572491739,-4273.631331988914,-16011.500750744644,-36142.2976376007,-11926.001343739357
2015-01-01 05:00:00,-209220.2903433649,-4317.706489287442,-539839.9984541584,-2131.288296059635,-210709.90499674887,-24160.34821910322,-72969.93333082351,-248232.03557977467,-78304.42376054058,-52391.038141366684,-49674.47596476514,-249069.9075360053,-33499.40828314487,-136566.74536938177,-4713.601933862951,-121478.67091823279,-21869.17336305421,-9813.522831861934,-148248.5157106054,-85465.89133330685
2015-01-01 06:00:00,-440287.1098311461,0.0,-803985.0851065114,-5444.289946395014,-473808.75482847175,-53024.54168968795,-147376.70076231338,-488145.43891629623,-197441.03562274206,-56976.1044177614,-117556.79564785586,-398095.0780625001,-125492.07704949785,-347184.62902512756,-8728.116563683208,-341690.9851883457,-39354.23115847841,-61567.53131249283,-167272.20310853608,-101891.00456777084
2015-01-01 07:00:00,-781692.1718113895,-7586.539727868605,-1314673.330360223,0.0,-684617.8186482878,-126057.19803346215,-168298.32980635608,-728786.2275927445,-284584.8751018348,-115945.33275491305,-104994.44682733878,-627457.7549320353,-221568.35323788275,-348857.0453823714,0.0,-506946.50247044046,-44295.135126540314,-220186.8295085032,-289456.72704242496,-153028.75932806922
2015-01-01 08:00:00,-591775.6395442446,0.0,-1614926.1218663554,-31089.842910557396,-582360.7051671097,-167857.26964142616,-252009.83906179218,-735197.3988472219,-566526.3700662875,-150471.62338887565,-197784.28316896537,-507824.0589501725,-125794.75308074025,-441881.90083762904,-24307.25745352301,-551008.2561957585,-86427.54834268091,-56710.07191120552,-334409.84272959887,-117829.8557350938
2015-01-01 09:00:00,-573642.9356683879,0.0,-1135675.764464347,-1093.0452408443612,-546737.4108639673,-62365.755260525024,-182525.62170004172,-463434.5950633012,-407575.4118929151,-64028.51296808876,-54638.44032711292,-501909.85970513854,-67312.5848514061,-246283.12087628088,0.0,-327777.4190583391,-26769.027278587004,-67740.551792827,-216531.60830922605,-191545.0641662139
