,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,-3168944.267689347,-125901.5075152021,-7709685.066425507,-1093794.195386832,-2025685.7688501645,-810358.0743124554,-1275228.151281063,-2896544.5694650146,-2599259.2059923345,-437134.8836803958,-762182.1899864485,-2032839.8014753615,-539261.8550654016,-1166750.6818971606,-71445.59880312733,-471507.0026420718,-176903.75538498437,-202747.58270769747,-326787.7434623769,-42680.21043654669
2015-01-01 01:00:00,-3173614.6714918367,-123829.65542092218,-7843905.682262426,-1115619.0886434985,-2058380.7717476801,-823285.0144671303,-1326271.0614893008,-3027739.5477554086,-2716900.956851561,-467807.2604589552,-811429.137777574,-2769812.2084471644,-593856.3049335362,-1424161.5823168983,-79969.64392716884,-579736.9351778831,-193099.31677075938,-239863.9181952616,-493857.76325086923,-90297.85641189941
2015-01-01 02:00:00,-3112577.4112171787,-124652.10222036828,-7819215.301855181,-1132826.3654708965,-2060605.5127034774,-829169.7312211647,-1360435.552564981,-3120678.071536102,-2809335.6147184693,-488957.6109666731,-840412.8300759078,-2948494.952474774,-638944.2154664062,-1623508.9622042847,-87011.8699568186,-657141.3976061137,-205104.24827217258,-277672.1227192362,-595664.1995378982,-121575.90945705149
2015-01-01 03:00:00,-3144135.619422101,-125659.15196343522,-7698534.805708471,-1139357.2285520867,-2080684.3906391559,-837106.7649584389,-1382058.3539964757,-3177841.214772369,-2892038.6923028696,-506969.7947983631,-871275.6583430213,-3162731.69447903,-682635.2876011491,-1797899.2545600182,-94626.54942288542,-732057.8985236428,-216633.26932338395,-314685.25473844825,-682227.0262916309,-148043.0122485704
2015-01-01 04:00:00,-3209526.932699161,-126652.55202836507,-7619954.604223937,-1143823.2420537493,-2146152.394530456,-854172.4959699116,-1401022.894669116,-3197972.6723318123,-2963503.2019436797,-519961.19059291866,-899118.4867372246,-3316526.97172925,-723534.2549110423,-1979781.8311935489,-103676.69751284175,-823026.3833311131,-230332.84881152597,-355849.26566625823,-751625.6975694094,-175126.23283333893
2015-01-01 05:00:00,-5843005.471618889,-234447.77511078722,-14061389.279103324,-2079807.7968571102,-4691339.879488125,-1600650.498854968,-2546721.8566642427,-5971596.866553365,-5861779.716545722,-1103667.6027935245,-1992380.904992199,-8149178.299068477,-1391259.5151173775,-5997196.02074931,-238443.59465473896,-3458591.4396821265,-407644.7080156555,-1678998.0055988214,-3326423.531875071,-1076340.3217043194
2015-01-01 06:00:00,-7908475.059381929,-260200.41621273637,-18692830.72573864,-2092319.009538948,-6268802.4666828355,-1973123.513853821,-3664811.913994133,-8195682.783420238,-6920377.857465314,-1288687.7054001384,-2383695.5308182477,-9667952.933843642,-1826752.817346652,-7266883.394949912,-341013.9124731383,-4085329.20012679,-769241.6931576191,-1766145.2876964665,-5154742.4111362,-1243682.4553060583
2015-01-01 07:00:00,-6109972.665369229,-218858.98789274742,-14677533.851204881,-1762264.2752477047,-4795925.2624297375,-1560558.0273473877,-2768364.905566003,-6160431.032358809,-5383640.501808086,-964455.1630934717,-1727252.6782100664,-6864770.558139964,-1307370.434328775,-4953831.664984546,-228682.6002249168,-2645322.745362845,-485003.8609068483,-1228473.075033268,-3408169.826113764,-854048.8415149706
2015-01-01 08:00:00,-5090293.18350682,-187844.83586964224,-12595826.946492225,-1463916.517089209,-4004977.8092388366,-1304619.407009839,-2331145.334359745,-5141183.838582132,-4513774.7004194185,-793060.1970915457,-1391739.1672567413,-5380576.800214025,-1039761.0347034764,-3995947.804344596,-187308.6068732493,-2154400.333477294,-394496.3935291552,-986928.7202919236,-2724352.802823736,-597702.2814124327
2015-01-01 09:00:00,-4271992.92582837,-163372.93465033727,-10679844.32472508,-1218416.4160585988,-3398543.33509495,-1117256.0545572313,-1995640.4049462364,-4369942.662983296,-3796671.006269104,-674513.9669165973,-1209983.0847114895,-4423125.570739529,-893693.6270850842,-3314544.050342949,-160078.13549312562,-1861936.6508833144,-334447.8739400647,-823552.2061949183,-2228300.364151827,-407596.33861730987
2015-01-01 10:00:00,-3773339.7637675363,-142898.57287041546,-9470073.012305565,-1049809.0306379013,-3012515.3408843335,-1014735.9415593492,-1763114.3833171728,-3821926.080120797,-3292283.345958736,-613082.106991019,-1113715.7589400844,-3792459.9877705993,-826816.7433804651,-2911624.513740577,-146446.40799065094,-1691863.5114819545,-299619.75214028615,-742431.903140228,-1932406.0309964558,-285744.61401870026
2015-01-01 11:00:00,-3508612.1159268185,-131888.78272493216,-8768157.109973747,-935081.681009672,-2805826.683256738,-972425.8739390386,-1619724.3399277758,-3506586.369032928,-2995591.4785286165,-578301.3422786067,-1048870.4184376774,-3411443.1197207817,-783595.6823864889,-2653353.0571829122,-138287.12272600262,-1545541.8109394454,-275413.6273865566,-687483.5194439533,-1741174.3302652547,-227794.4227053236
