,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,-7642.103549974442,-444.6614470073503,-58272.99772717363,-7108.855602269678,-4482.668523738186,-1221.4455828934595,-16.411916898904458,-6448.669348625148,-814.546138833415,-41.354076961040185,-0.0,-0.0,-500.464596482625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2015-01-01 01:00:00,-16154.209950628301,-619.9150499182891,-92334.43998694883,-9171.915081348747,-10888.52005407583,-4607.652105989781,-360.73625653641324,-15071.238370712626,-4066.846586103605,-1226.4221150245605,-0.0,-230.7717268434225,-1017.4325359385798,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2015-01-01 02:00:00,-17234.16445081188,-719.6785378567477,-102616.4832494142,-9713.556146695208,-12767.57222792074,-6349.751356393215,-727.8125398315564,-19849.951300724304,-7806.518999764054,-2594.907718504881,-232.26575417508488,-434.8911556973143,-1445.556108249014,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2015-01-01 03:00:00,-18832.372115492966,-821.5117278805048,-105186.43970185418,-10063.258456957805,-14902.100652812365,-7630.199234011432,-1038.4147397184288,-23958.767937236134,-10645.924883663987,-3680.681942948503,-927.3439142873784,-1494.3154185596159,-2335.066058353594,-5.792572477537177,-0.0,-0.0,-0.0,-0.0,-0.0,-25.256570792812433
2015-01-01 04:00:00,-20915.49391944964,-934.1788995336866,-108719.97072987356,-10354.97746015332,-18731.494045637228,-9404.285295399663,-1355.1529246500236,-27468.977650056007,-13130.923515677812,-4515.3134905514935,-1478.1800868503892,-2316.471257768101,-3400.72432582521,-37.08455698984279,-4.06594586500108,-0.0,-0.185772431295401,-0.0,-0.0,-76.47175062503027
2015-01-01 05:00:00,-103292.5316699157,-3215.549269468198,-545260.9672616184,-22076.02219447961,-222791.02061985296,-57491.821806012915,-28158.814635931703,-252130.43127130947,-148658.75472289984,-48761.58291599836,-58294.82412218355,-163004.04381629836,-51054.88651154502,-31606.70495489473,-6843.274186505219,-42574.044603534516,-4476.169958579665,-3839.3616509547337,-20536.637884462638,-5954.631268752488
2015-01-01 06:00:00,-230765.85886423668,-7245.517451845202,-805005.6664581888,-37917.63359059549,-388252.4226879547,-92902.12938348929,-38752.37234133023,-350778.1732159787,-193588.05846966212,-55594.01039520979,-87059.13647466662,-180297.531916609,-83450.1845552251,-60211.932181950135,-8064.632094722782,-63421.209431476054,-14053.336138056513,-9453.109049992487,-26740.73749866351,-14137.916407455441
2015-01-01 07:00:00,-150095.48785521314,-4975.993410117613,-556942.4570282514,-26577.439842816948,-253811.6108451413,-63183.82908498167,-25627.8590620846,-227650.58274697242,-123812.60933040609,-36071.257474735285,-48193.99900486118,-106490.28959179902,-47834.78566487049,-29629.70707094033,-4649.635895127382,-24696.631277773868,-6453.29907455614,-4273.840578715597,-14343.554915766916,-7179.81869360999
2015-01-01 08:00:00,-109641.54112933295,-3766.74975320066,-425827.2110167789,-20481.331627016458,-188081.80362556144,-47536.324311620745,-18105.1003111873,-163517.2972634513,-88566.50382494956,-26014.487496592603,-30760.52483543747,-64852.1660514301,-31460.559740016124,-18324.650692941173,-3246.68531144287,-13081.769612610335,-4114.194208555403,-2486.4298869740146,-7376.336452376321,-3447.1488682978415
2015-01-01 09:00:00,-80417.99152668101,-2980.290757566929,-319789.80506842677,-15811.463887872513,-142935.71536642115,-37172.86788475161,-12935.605844058351,-120072.22029304926,-63353.93862808337,-19724.41498117075,-22010.588960435107,-40073.52612442458,-23000.47340820243,-11941.269193563734,-2380.2459010175826,-9109.287794736054,-2860.805077011601,-1602.0566675124128,-3831.748213039729,-1356.8869777209293
