,NORD,CNOR,CSUD,SUD,SARD,SICI
2015-01-01 00:00:00,-12811700.0,-2346000.0,-4713300.0,-2424000.0,-898000.0,-1863000.0
2015-01-01 01:00:00,-12086020.0,-2204000.0,-4319980.0,-2165000.0,-849000.0,-1718000.0
2015-01-01 02:00:00,-11391120.0,-2056000.0,-4003880.0,-2022000.0,-816000.0,-1579000.0
2015-01-01 03:00:00,-10970220.0,-1987000.0,-3782780.0,-1929000.0,-787000.0,-1529000.0
2015-01-01 04:00:00,-11089800.0,-1970000.0,-3734200.0,-1911000.0,-777000.0,-1494000.0
2015-01-01 05:00:00,-11637100.0,-2019000.0,-3806900.0,-2047000.0,-797000.0,-1498000.0
2015-01-01 06:00:00,-11972040.0,-2042000.0,-3859960.0,-1983000.0,-830000.0,-1490000.0
2015-01-01 07:00:00,-11819900.0,-2103000.0,-4106100.0,-2198000.0,-872000.0,-1671000.0
2015-01-01 08:00:00,-12582200.0,-2289000.0,-4754800.0,-2664000.0,-961000.0,-1997000.0
2015-01-01 09:00:00,-13817740.0,-2530000.0,-5303260.0,-2868000.0,-1043000.0,-2249000.0
2015-01-01 10:00:00,-14915720.0,-2593000.0,-5800280.0,-3032000.0,-1106000.0,-2450000.0
2015-01-01 11:00:00,-15010420.0,-2608000.0,-5982580.0,-3217000.0,-1116000.0,-2254000.0
2015-01-01 12:00:00,-14217900.0,-2386000.0,-5664100.0,-2924000.0,-1017000.0,-2139000.0
2015-01-01 13:00:00,-13638340.0,-2342000.0,-5034660.0,-2639000.0,-928000.0,-2128000.0
2015-01-01 14:00:00,-13382080.0,-2439000.0,-4874920.0,-2526000.0,-928000.0,-2008000.0
2015-01-01 15:00:00,-14010140.0,-2634000.0,-4936860.0,-2498000.0,-940000.0,-1940000.0
2015-01-01 16:00:00,-16366160.0,-3056000.0,-5686840.0,-2752000.0,-1037000.0,-2183000.0
2015-01-01 17:00:00,-17051440.0,-3216000.0,-5859560.0,-2810000.0,-1105000.0,-2253000.0
2015-01-01 18:00:00,-17254060.0,-3306000.0,-5950940.0,-2919000.0,-1127000.0,-2315000.0
2015-01-01 19:00:00,-16670060.0,-3205000.0,-5919940.0,-2920000.0,-1133000.0,-2353000.0
2015-01-01 20:00:00,-15857100.0,-3035000.0,-5747900.0,-2958000.0,-1091000.0,-2292000.0
2015-01-01 21:00:00,-14663720.0,-2786000.0,-5357280.0,-2721000.0,-1015000.0,-2170000.0
2015-01-01 22:00:00,-13146400.0,-2464000.0,-4759600.0,-2429000.0,-924000.0,-1995000.0
2015-01-01 23:00:00,-12602660.0,-2228000.0,-4318340.0,-2133000.0,-828000.0,-1768000.0
2015-01-02 00:00:00,-11660180.0,-2027000.0,-3909820.0,-1936000.0,-761000.0,-1586000.0
2015-01-02 01:00:00,-11150960.0,-1908000.0,-3651040.0,-1835000.0,-736000.0,-1464000.0
2015-01-02 02:00:00,-10987580.0,-1877000.0,-3534420.0,-1824000.0,-719000.0,-1404000.0
2015-01-02 03:00:00,-11187640.0,-1898000.0,-3554360.0,-1784000.0,-720000.0,-1397000.0
2015-01-02 04:00:00,-12036060.0,-1998000.0,-3786940.0,-1903000.0,-752000.0,-1443000.0
2015-01-02 05:00:00,-14179600.0,-2305000.0,-4328400.0,-2161000.0,-828000.0,-1581000.0
