,NORD,CNOR,CSUD,SUD,SARD,SICI
2015-01-01 00:00:00,-12778150.50089957,-2333693.442950791,-4692724.277953585,-2413396.3459713133,-894071.6958837998,-1847305.7728729595
2015-01-01 01:00:00,-12039883.647134008,-2181762.8159195166,-4298763.499474988,-2135993.5420799106,-840591.9386465019,-1708814.327741187
2015-01-01 02:00:00,-11334848.614150254,-2023526.517373768,-3938763.6435063253,-2000009.1407408358,-805806.0793777193,-1539702.6970868655
2015-01-01 03:00:00,-10882661.769620953,-1957574.2356359444,-3715983.773766852,-1888323.1156844026,-778824.7120264091,-1496178.771421111
2015-01-01 04:00:00,-11000396.26137339,-1920424.4188224203,-3674355.6611033273,-1854124.024476832,-767459.1989250085,-1423998.0761545417
2015-01-01 05:00:00,-11298064.816916162,-1923692.7703068461,-3513196.3756212797,-1932219.8433565167,-728627.2869333546,-1210866.0327289328
2015-01-01 06:00:00,-11346704.818841048,-1853725.774309432,-3261760.5154348253,-1639728.0945757818,-748487.1963457833,-1166020.1539792565
2015-01-01 07:00:00,-10825876.11246631,-1840646.8222556314,-3316904.1253418643,-1580314.338489201,-749576.9925375446,-1110368.0234125664
2015-01-01 08:00:00,-11538009.070668835,-1823815.8782862,-4003870.406463591,-2135851.9081129776,-866736.1154119249,-1349300.9361868822
2015-01-01 09:00:00,-13050620.799385829,-2265681.829761152,-4735018.161173642,-2539131.3247668687,-889763.9486670289,-1829612.4639063412
2015-01-01 10:00:00,-14439926.231067538,-2403744.6730250046,-5437991.862318136,-2774665.8256796394,-1010031.3895164933,-2252678.706745985
2015-01-01 11:00:00,-14737237.5276476,-2471330.136520148,-5766252.720774443,-3110379.2920998363,-1073648.5040647984,-2081463.6685935298
2015-01-01 12:00:00,-13890686.80783457,-2273666.505731721,-5378418.263568729,-2753980.604590634,-934900.057534303,-1987556.0439055266
2015-01-01 13:00:00,-13216967.203086069,-2169549.301069369,-4624022.485955987,-2426446.32283677,-852421.7287651782,-1761337.6180329956
2015-01-01 14:00:00,-12676096.460985906,-2271368.643913857,-4365481.646056555,-2305492.566953728,-826970.3072846602,-1695345.5050149378
2015-01-01 15:00:00,-13234776.750096826,-2280457.455937215,-4308988.239535168,-2236329.9031464416,-851410.7818087583,-1454116.121920831
