time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0007,0.0019,0.0037,0.0132,0.0096,0.0328,0.0256,0.0296,0.0091,0.0
2015-01-01 07:00:00,0.0725,0.0672,0.0821,0.12140000000000001,0.108,0.1128,0.0982,0.1126,0.1406,0.16,0.1604,0.1692,0.1844,0.2142,0.2054,0.2332,0.2274,0.2106,0.1367,0.1268
2015-01-01 08:00:00,0.269,0.2978,0.2624,0.30795,0.2916,0.2833,0.2865,0.2894,0.325,0.3343,0.3311,0.3547,0.3714,0.3827,0.3732,0.3931,0.3918,0.3684,0.2953,0.3111
2015-01-01 09:00:00,0.4154,0.442,0.3949,0.43374999999999997,0.4123,0.4009,0.4242,0.4121,0.4499,0.4532,0.4462,0.4844,0.4984,0.4977,0.5017,0.4929,0.4998,0.4689,0.4064,0.4431
2015-01-01 10:00:00,0.4955,0.5152,0.4663,0.49970000000000003,0.4648,0.4037,0.5005,0.4768,0.5148,0.514,0.5064,0.5425,0.5553,0.5522,0.5627,0.5371,0.5542,0.5026,0.4645,0.5178
2015-01-01 11:00:00,0.5156,0.5285,0.4792,0.5021,0.4384,0.3164,0.5192,0.4869,0.5238,0.518,0.5112,0.5395,0.5531,0.5501,0.563,0.5274,0.553,0.4854,0.4693,0.5379
2015-01-01 12:00:00,0.4781,0.4839,0.433,0.4484,0.3317,0.2444,0.4814,0.4405,0.4782,0.4692,0.4606,0.4652,0.4914,0.4919,0.5039,0.4576,0.4963,0.4249,0.4208,0.5038
2015-01-01 13:00:00,0.3853,0.3859,0.3353,0.34855,0.2296,0.1671,0.3867,0.3375,0.3798,0.3692,0.3535,0.3607,0.3769,0.3783,0.387,0.3335,0.3736,0.3125,0.3165,0.416
2015-01-01 14:00:00,0.2348,0.2352,0.184,0.18355,0.1159,0.0819,0.2344,0.1772,0.2217,0.2116,0.1898,0.2148,0.2087,0.2095,0.2101,0.1589,0.1907,0.1617,0.173,0.2739
2015-01-01 15:00:00,0.0501,0.0508,0.0196,0.00825,0.0044,0.0008,0.0493,0.0151,0.0285,0.0214,0.0119,0.0273,0.0157,0.0186,0.0144,0.0042,0.0086,0.0102,0.0267,0.0871
2015-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0021,0.0028,0.0126,0.0086,0.0328,0.0255,0.0432,0.0274,0.0
2015-01-02 07:00:00,0.0748,0.0545,0.0748,0.046450000000000005,0.0489,0.0421,0.0891,0.092,0.1161,0.1181,0.0947,0.1678,0.1489,0.2027,0.1882,0.2237,0.2182,0.2512,0.2192,0.1188
2015-01-02 08:00:00,0.2754,0.2876,0.2356,0.1815,0.1334,0.126,0.2513,0.2065,0.2813,0.2733,0.2274,0.3379,0.3081,0.3645,0.3437,0.3759,0.3718,0.4019,0.4032,0.2909
2015-01-02 09:00:00,0.4157,0.437,0.3708,0.3174,0.244,0.2245,0.3863,0.287,0.3861,0.3733,0.2809,0.4513,0.4231,0.4718,0.4655,0.4719,0.4796,0.499,0.5243,0.419
2015-01-02 10:00:00,0.4918,0.4938,0.4545,0.42315,0.3399,0.3203,0.4788,0.3755,0.4498,0.4144,0.3264,0.5052,0.4536,0.5217,0.5157,0.5144,0.5313,0.5432,0.5788,0.4945
2015-01-02 11:00:00,0.5079,0.5001,0.4684,0.43674999999999997,0.3977,0.3902,0.5033,0.4189,0.4733,0.4428,0.3834,0.498,0.3682,0.5156,0.4546,0.4994,0.5287,0.5378,0.5784,0.5153
2015-01-02 12:00:00,0.4594,0.426,0.4126,0.3735,0.3645,0.3689,0.4677,0.4092,0.4416,0.423,0.3889,0.4325,0.3035,0.4452,0.3283,0.4252,0.4713,0.4771,0.5236,0.484
2015-01-02 13:00:00,0.3395,0.2814,0.2952,0.23204999999999998,0.23,0.2392,0.3692,0.3258,0.3503,0.3393,0.3028,0.3384,0.2664,0.3081,0.2363,0.3005,0.3478,0.3588,0.4123,0.3996
2015-01-02 14:00:00,0.1646,0.113,0.1255,0.07155,0.0905,0.0808,0.207,0.162,0.1946,0.1919,0.1541,0.1942,0.1564,0.1545,0.1418,0.1348,0.1587,0.1709,0.2452,0.2622
2015-01-02 15:00:00,0.0194,0.0106,0.0068,0.0006,0.0024,0.0003,0.0347,0.0112,0.0247,0.0189,0.0091,0.024,0.0116,0.0133,0.0106,0.003,0.0059,0.0117,0.0487,0.0821
2015-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
