,NORD,CNOR,CSUD,SUD,SARD,SICI
2015-01-01 00:00:00,-12811700,-2346000,-4713300,-2424000,-898000,-1863000
2015-01-01 01:00:00,-12086020,-2204000,-4319980,-2165000,-849000,-1718000
2015-01-01 02:00:00,-11391120,-2056000,-4003880,-2022000,-816000,-1579000
2015-01-01 03:00:00,-10970220,-1987000,-3782780,-1929000,-787000,-1529000
2015-01-01 04:00:00,-11089800,-1970000,-3734200,-1911000,-777000,-1494000
2015-01-01 05:00:00,-11637100,-2019000,-3806900,-2047000,-797000,-1498000
2015-01-01 06:00:00,-11972040,-2042000,-3859960,-1983000,-830000,-1490000
2015-01-01 07:00:00,-11819900,-2103000,-4106100,-2198000,-872000,-1671000
2015-01-01 08:00:00,-12582200,-2289000,-4754800,-2664000,-961000,-1997000
2015-01-01 09:00:00,-13817740,-2530000,-5303260,-2868000,-1043000,-2249000
2015-01-01 10:00:00,-14915720,-2593000,-5800280,-3032000,-1106000,-2450000
2015-01-01 11:00:00,-15010420,-2608000,-5982580,-3217000,-1116000,-2254000
2015-01-01 12:00:00,-14217900,-2386000,-5664100,-2924000,-1017000,-2139000
2015-01-01 13:00:00,-13638340,-2342000,-5034660,-2639000,-928000,-2128000
2015-01-01 14:00:00,-13382080,-2439000,-4874920,-2526000,-928000,-2008000
2015-01-01 15:00:00,-14010140,-2634000,-4936860,-2498000,-940000,-1940000
2015-01-01 16:00:00,-16366160,-3056000,-5686840,-2752000,-1037000,-2183000
2015-01-01 17:00:00,-17051440,-3216000,-5859560,-2810000,-1105000,-2253000
2015-01-01 18:00:00,-17254060,-3306000,-5950940,-2919000,-1127000,-2315000
2015-01-01 19:00:00,-16670060,-3205000,-5919940,-2920000,-1133000,-2353000
2015-01-01 20:00:00,-15857100,-3035000,-5747900,-2958000,-1091000,-2292000
2015-01-01 21:00:00,-14663720,-2786000,-5357280,-2721000,-1015000,-2170000
2015-01-01 22:00:00,-13146400,-2464000,-4759600,-2429000,-924000,-1995000
2015-01-01 23:00:00,-12602660,-2228000,-4318340,-2133000,-828000,-1768000
2015-01-02 00:00:00,-11660180,-2027000,-3909820,-1936000,-761000,-1586000
2015-01-02 01:00:00,-11150960,-1908000,-3651040,-1835000,-736000,-1464000
2015-01-02 02:00:00,-10987580,-1877000,-3534420,-1824000,-719000,-1404000
2015-01-02 03:00:00,-11187640,-1898000,-3554360,-1784000,-720000,-1397000
2015-01-02 04:00:00,-12036060,-1998000,-3786940,-1903000,-752000,-1443000
2015-01-02 05:00:00,-14179600,-2305000,-4328400,-2161000,-828000,-1581000
2015-01-02 06:00:00,-16358840,-2655000,-4862160,-2323000,-935000,-1757000
2015-01-02 07:00:00,-17751420,-2958000,-5597580,-2924000,-1041000,-2032000
2015-01-02 08:00:00,-19176720,-3225000,-6369280,-3281000,-1112000,-2275000
2015-01-02 09:00:00,-19516860,-3353000,-6637140,-3421000,-1165000,-2372000
2015-01-02 10:00:00,-19983300,-3336000,-6664700,-3400000,-1163000,-2361000
2015-01-02 11:00:00,-19388180,-3207000,-6628820,-3358000,-1157000,-2345000
2015-01-02 12:00:00,-18247360,-3004000,-6416640,-3221000,-1106000,-2316000
2015-01-02 13:00:00,-18228920,-3028000,-6288080,-3167000,-1049000,-2360000
2015-01-02 14:00:00,-18481340,-3240000,-6230660,-3047000,-1033000,-2407000
2015-01-02 15:00:00,-19460280,-3457000,-6394720,-3194000,-1068000,-2492000
2015-01-02 16:00:00,-21749180,-3945000,-7208820,-3623000,-1193000,-2809000
2015-01-02 17:00:00,-21955260,-3993000,-7316740,-3662000,-1253000,-2895000
2015-01-02 18:00:00,-21521840,-3936000,-7348160,-3701000,-1275000,-2948000
2015-01-02 19:00:00,-20156180,-3561000,-6930820,-3659000,-1245000,-2867000
2015-01-02 20:00:00,-18658220,-3282000,-6404780,-3333000,-1158000,-2677000
2015-01-02 21:00:00,-16527180,-2924000,-5820820,-2955000,-1070000,-2430000
2015-01-02 22:00:00,-14710620,-2645000,-5077380,-2657000,-966000,-2122000
2015-01-02 23:00:00,-13118600,-2320000,-4410400,-2281000,-855000,-1832000
2015-01-03 00:00:00,-12021280,-2127000,-3957720,-2061000,-791000,-1640000
2015-01-03 01:00:00,-11441000,-2030000,-3688000,-1928000,-758000,-1515000
2015-01-03 02:00:00,-11223660,-1997000,-3540340,-1862000,-742000,-1443000
2015-01-03 03:00:00,-11275400,-1972000,-3494600,-1869000,-738000,-1441000
2015-01-03 04:00:00,-11834520,-2040000,-3678480,-1915000,-759000,-1502000
2015-01-03 05:00:00,-13197380,-2256000,-4086620,-2096000,-817000,-1607000
2015-01-03 06:00:00,-14956080,-2563000,-4516920,-2284000,-912000,-1751000
2015-01-03 07:00:00,-16020020,-2826000,-5036980,-2693000,-995000,-2029000
2015-01-03 08:00:00,-17378800,-3125000,-5648200,-3028000,-1059000,-2317000
2015-01-03 09:00:00,-17910580,-3233000,-5669420,-3159000,-1072000,-2294000
2015-01-03 10:00:00,-17659320,-3242000,-5527680,-3093000,-1082000,-2223000
2015-01-03 11:00:00,-16979900,-3167000,-5703100,-3026000,-1052000,-2151000
2015-01-03 12:00:00,-16228980,-2943000,-5572020,-3037000,-1012000,-2136000
2015-01-03 13:00:00,-15549860,-2830000,-5532140,-2972000,-1025000,-2113000
2015-01-03 14:00:00,-15595920,-2940000,-5667080,-2933000,-1017000,-2206000
2015-01-03 15:00:00,-16430120,-3217000,-5997880,-3174000,-1012000,-2298000
2015-01-03 16:00:00,-19028520,-3599000,-6672480,-3759000,-1120000,-2641000
2015-01-03 17:00:00,-19735360,-3728000,-6763640,-3876000,-1177000,-2719000
2015-01-03 18:00:00,-19587340,-3781000,-6843660,-3924000,-1195000,-2776000
2015-01-03 19:00:00,-18295900,-3509000,-6460100,-3867000,-1172000,-2678000
2015-01-03 20:00:00,-16936780,-3284000,-6001220,-3550000,-1091000,-2473000
2015-01-03 21:00:00,-15303120,-2967000,-5491880,-3209000,-1009000,-2287000
2015-01-03 22:00:00,-13697500,-2617000,-4950500,-2962000,-926000,-2094000
2015-01-03 23:00:00,-12395080,-2328000,-4414920,-2586000,-845000,-1871000
2015-01-04 00:00:00,-11232360,-2119000,-3970640,-2390000,-783000,-1701000
2015-01-04 01:00:00,-10707140,-2010000,-3687860,-2248000,-745000,-1582000
2015-01-04 02:00:00,-10538600,-1946000,-3535400,-2173000,-728000,-1490000
2015-01-04 03:00:00,-10569960,-1919000,-3472040,-2132000,-738000,-1479000
2015-01-04 04:00:00,-10838760,-1952000,-3518240,-2162000,-758000,-1497000
2015-01-04 05:00:00,-11562600,-2049000,-3753400,-2229000,-796000,-1539000
2015-01-04 06:00:00,-12501940,-2223000,-3884060,-2271000,-844000,-1577000
2015-01-04 07:00:00,-12945860,-2382000,-4184140,-2573000,-905000,-1828000
2015-01-04 08:00:00,-14206460,-2573000,-4624540,-2921000,-1014000,-2046000
2015-01-04 09:00:00,-15080120,-2658000,-5136880,-2869000,-1044000,-2119000
2015-01-04 10:00:00,-15763460,-2773000,-5388540,-2702000,-1099000,-2123000
2015-01-04 11:00:00,-15557440,-2717000,-5255560,-2748000,-1109000,-2165000
2015-01-04 12:00:00,-14651980,-2475000,-5242020,-2628000,-1059000,-2079000
2015-01-04 13:00:00,-13954560,-2384000,-5007440,-2745000,-1002000,-2080000
2015-01-04 14:00:00,-13899180,-2564000,-4911820,-2579000,-973000,-2038000
2015-01-04 15:00:00,-14741640,-2740000,-4983360,-2545000,-964000,-2108000
2015-01-04 16:00:00,-17253840,-3216000,-5770160,-2927000,-1050000,-2372000
2015-01-04 17:00:00,-18363440,-3387000,-5998560,-2966000,-1112000,-2407000
2015-01-04 18:00:00,-18356560,-3494000,-6113440,-3271000,-1135000,-2460000
2015-01-04 19:00:00,-17524500,-3328000,-6058500,-3223000,-1146000,-2457000
2015-01-04 20:00:00,-16531900,-3122000,-5720100,-3026000,-1089000,-2313000
2015-01-04 21:00:00,-15232580,-2873000,-5246420,-2842000,-1017000,-2146000
2015-01-04 22:00:00,-13642720,-2535000,-4687280,-2567000,-932000,-1940000
2015-01-04 23:00:00,-12709260,-2320000,-4086740,-2316000,-846000,-1729000
2015-01-05 00:00:00,-11697940,-2158000,-3691060,-2102000,-787000,-1558000
2015-01-05 01:00:00,-11222140,-2038000,-3481860,-1967000,-754000,-1438000
2015-01-05 02:00:00,-11035460,-2023000,-3369540,-1957000,-737000,-1363000
2015-01-05 03:00:00,-11227180,-2009000,-3345820,-1946000,-744000,-1405000
2015-01-05 04:00:00,-11995180,-2126000,-3581820,-2069000,-772000,-1460000
2015-01-05 05:00:00,-13909520,-2463000,-4185480,-2259000,-851000,-1610000
