,NORD,CNOR,CSUD,SUD,SARD,SICI
2015-01-01 00:00:00,-12734490,-2324560,-4618570,-2375020,-862660,-1821500
2015-01-01 01:00:00,-12024240,-2186850,-4244200,-2125830,-820730,-1684800
2015-01-01 02:00:00,-11348640,-2044220,-3951780,-1995060,-796560,-1556180
2015-01-01 03:00:00,-10950910,-1981640,-3759100,-1916750,-778160,-1518630
2015-01-01 04:00:00,-11074360,-1965710,-3715250,-1901210,-769930,-1485700
2015-01-01 05:00:00,-11625520,-2015790,-3792700,-2039660,-791700,-1491780
2015-01-01 06:00:00,-11937280,-2032350,-3817340,-1960970,-814100,-1471330
2015-01-01 07:00:00,-11696330,-2068710,-3954540,-2119660,-815450,-1604600
2015-01-01 08:00:00,-12323500,-2217210,-4437460,-2499960,-842610,-1857980
2015-01-01 09:00:00,-13404590,-2415350,-4796470,-2606030,-853920,-2026980
2015-01-01 10:00:00,-14467820,-2468710,-5250850,-2747990,-901020,-2209300
2015-01-01 11:00:00,-14574120,-2486930,-5447360,-2940340,-916320,-2019530
2015-01-01 12:00:00,-13847220,-2283140,-5209410,-2688970,-847360,-1939800
2015-01-01 13:00:00,-13317850,-2253060,-4641540,-2435790,-781330,-1955780
2015-01-01 14:00:00,-13150400,-2374710,-4590740,-2379090,-821980,-1883500
2015-01-01 15:00:00,-13855700,-2591150,-4747400,-2400070,-869320,-1857000
2015-01-01 16:00:00,-16242590,-3021710,-5535280,-2673660,-980450,-2116600
2015-01-01 17:00:00,-16897000,-3173150,-5670100,-2712070,-1034320,-2170000
2015-01-01 18:00:00,-17045550,-3248140,-5695180,-2786780,-1031580,-2202950
2015-01-01 19:00:00,-16453840,-3145000,-5654710,-2782900,-1034040,-2236800
2015-01-01 20:00:00,-15652450,-2978210,-5496870,-2828240,-997350,-2182030
2015-01-01 21:00:00,-14466790,-2731360,-5115720,-2596130,-924880,-2064180
2015-01-01 22:00:00,-12984230,-2418990,-4560670,-2326170,-849780,-1907850
2015-01-01 23:00:00,-12483010,-2194790,-4171570,-2057140,-773250,-1703700
2015-01-02 00:00:00,-11540630,-1993820,-3763180,-1860200,-706290,-1521760
2015-01-02 01:00:00,-11104780,-1895180,-3594400,-1805730,-714870,-1439190
2015-01-02 02:00:00,-10968370,-1871670,-3510860,-1811820,-710210,-1393680
2015-01-02 03:00:00,-11183830,-1896950,-3549690,-1781590,-718260,-1394950
2015-01-02 04:00:00,-12028380,-1995880,-3777530,-1898140,-748490,-1438880
2015-01-02 05:00:00,-14152670,-2297530,-4295370,-2143930,-815680,-1566530
2015-01-02 06:00:00,-16254740,-2626110,-4734470,-2257000,-887360,-1701060
2015-01-02 07:00:00,-17527630,-2895900,-5323060,-2782100,-938580,-1911740
2015-01-02 08:00:00,-18883430,-3143620,-6009500,-3095030,-977780,-2117390
2015-01-02 09:00:00,-19235130,-3274830,-6291570,-3242380,-1036080,-2220610
2015-01-02 10:00:00,-19767220,-3276040,-6399650,-3262990,-1064120,-2244890
2015-01-02 11:00:00,-19210720,-3157750,-6411140,-3245480,-1075790,-2249640
2015-01-02 12:00:00,-18081490,-2957970,-6213170,-3115820,-1030090,-2226860
2015-01-02 13:00:00,-18066910,-2983040,-6089350,-3064270,-974860,-2272940
2015-01-02 14:00:00,-18319330,-3195040,-6031930,-2944270,-958860,-2319940
2015-01-02 15:00:00,-19313720,-3416330,-6214930,-3101070,-1000920,-2413240
2015-01-02 16:00:00,-21618060,-3908610,-7047970,-3539850,-1132990,-2738540
2015-01-02 17:00:00,-21839580,-3960900,-7174840,-3588660,-1200060,-2832840
2015-01-02 18:00:00,-21352120,-3888910,-7139960,-3593370,-1197320,-2856790
2015-01-02 19:00:00,-19951710,-3504250,-6679990,-3529340,-1151420,-2757110
2015-01-02 20:00:00,-18415120,-3214550,-6106580,-3178860,-1046750,-2546360
2015-01-02 21:00:00,-16326560,-2868330,-5574720,-2827790,-978190,-2322190
2015-01-02 22:00:00,-14510000,-2589330,-4831280,-2529790,-874190,-2014190
2015-01-02 23:00:00,-12964320,-2277180,-4221140,-2183160,-784390,-1749090
2015-01-03 00:00:00,-11940270,-2104520,-3858360,-2009630,-753930,-1596470
2015-01-03 01:00:00,-11398520,-2018220,-3635900,-1901060,-738560,-1492180
2015-01-03 02:00:00,-11200490,-1990580,-3511920,-1847310,-731400,-1430550
2015-01-03 03:00:00,-11263820,-1968790,-3480400,-1861660,-732700,-1434780
2015-01-03 04:00:00,-11819080,-2035710,-3659530,-1905210,-751930,-1493700
2015-01-03 05:00:00,-13170360,-2248500,-4053470,-2078870,-804630,-1592480
2015-01-03 06:00:00,-14909750,-2550140,-4460090,-2254620,-890800,-1726100
2015-01-03 07:00:00,-15896450,-2791710,-4885420,-2614660,-938450,-1962600
2015-01-03 08:00:00,-17123960,-3054280,-5335590,-2866410,-942370,-2180050
2015-01-03 09:00:00,-17551480,-3133360,-5228930,-2931310,-907660,-2101030
2015-01-03 10:00:00,-17296380,-3141280,-5082450,-2862850,-915900,-2027950
2015-01-03 11:00:00,-16667150,-3080210,-5319450,-2827680,-908870,-1982930
2015-01-03 12:00:00,-15931680,-2860500,-5207320,-2848490,-875940,-1976230
2015-01-03 13:00:00,-15229370,-2741060,-5139020,-2768790,-878330,-1940780
2015-01-03 14:00:00,-15290890,-2855350,-5292900,-2739580,-877400,-2042080
2015-01-03 15:00:00,-16121230,-3131280,-5618970,-2978130,-870640,-2132000
2015-01-03 16:00:00,-18684860,-3503640,-6250940,-3541100,-962730,-2456330
2015-01-03 17:00:00,-19326070,-3614430,-6261580,-3616490,-989690,-2499050
2015-01-03 18:00:00,-19154890,-3661000,-6313170,-3649790,-997090,-2543600
2015-01-03 19:00:00,-17929080,-3407210,-6010140,-3634410,-1004130,-2480880
2015-01-03 20:00:00,-16681940,-3213280,-5688610,-3388410,-974370,-2336050
2015-01-03 21:00:00,-15148680,-2924150,-5302420,-3111070,-938320,-2204000
2015-01-03 22:00:00,-13597120,-2589140,-4827350,-2898340,-880060,-2040050
2015-01-03 23:00:00,-12302400,-2302290,-4301240,-2527240,-802590,-1821200
2015-01-04 00:00:00,-11155150,-2097560,-3875910,-2341020,-747660,-1659500
2015-01-04 01:00:00,-10645360,-1992850,-3612080,-2208830,-716730,-1548800
2015-01-04 02:00:00,-10496120,-1934220,-3483300,-2146060,-708560,-1467180
2015-01-04 03:00:00,-10550650,-1913640,-3448360,-2119750,-729160,-1468630
2015-01-04 04:00:00,-10823320,-1947710,-3499290,-2152210,-750930,-1488700
2015-01-04 05:00:00,-11551020,-2045790,-3739200,-2221660,-790700,-1532780
2015-01-04 06:00:00,-12467180,-2213350,-3841440,-2248970,-828100,-1558330
2015-01-04 07:00:00,-12822290,-2347710,-4032580,-2494660,-848450,-1761600
2015-01-04 08:00:00,-13947760,-2501210,-4307200,-2756960,-895610,-1906980
2015-01-04 09:00:00,-14666970,-2543350,-4630090,-2607030,-854920,-1896980
2015-01-04 10:00:00,-15315560,-2648710,-4839110,-2417990,-894020,-1882300
2015-01-04 11:00:00,-15121140,-2595930,-4720340,-2471340,-909320,-1930530
2015-01-04 12:00:00,-14281300,-2372140,-4787330,-2392970,-889360,-1879800
2015-01-04 13:00:00,-13634070,-2295060,-4614320,-2541790,-855330,-1907780
2015-01-04 14:00:00,-13667500,-2499710,-4627640,-2432090,-866980,-1913500
2015-01-04 15:00:00,-14587200,-2697150,-4793900,-2447070,-893320,-2025000
2015-01-04 16:00:00,-17130270,-3181710,-5618600,-2848660,-993450,-2305600
2015-01-04 17:00:00,-18209000,-3344150,-5809100,-2868070,-1041320,-2324000
2015-01-04 18:00:00,-18148050,-3436140,-5857680,-3138780,-1039580,-2347950
2015-01-04 19:00:00,-17308280,-3268000,-5793270,-3085900,-1047040,-2340800
2015-01-04 20:00:00,-16327250,-3065210,-5469070,-2896240,-995350,-2203030
2015-01-04 21:00:00,-15035650,-2818360,-5004860,-2717130,-926880,-2040180
2015-01-04 22:00:00,-13480550,-2489990,-4488350,-2464170,-857780,-1852850
2015-01-04 23:00:00,-12589610,-2286790,-3939970,-2240140,-791250,-1664700
2015-01-05 00:00:00,-11578390,-2124820,-3544420,-2026200,-732290,-1493760
2015-01-05 01:00:00,-11175960,-2025180,-3425220,-1937730,-732870,-1413190
2015-01-05 02:00:00,-11016250,-2017670,-3345980,-1944820,-728210,-1352680
2015-01-05 03:00:00,-11223370,-2007950,-3341150,-1943590,-742260,-1402950
2015-01-05 04:00:00,-11987500,-2123880,-3572410,-2064140,-768490,-1455880
2015-01-05 05:00:00,-13882590,-2455530,-4152450,-2241930,-838680,-1595530
2015-01-05 06:00:00,-16173960,-2792110,-4659250,-2448000,-916360,-1714060
2015-01-05 07:00:00,-17586430,-3094900,-5265260,-2820100,-949580,-1942740
2015-01-05 08:00:00,-18831630,-3349620,-5876300,-2989030,-980780,-2122390
2015-01-05 09:00:00,-19426170,-3416830,-6071530,-3362380,-991080,-2124610
2015-01-05 10:00:00,-19569320,-3432040,-6277550,-3441990,-1016120,-2125890
2015-01-05 11:00:00,-19014140,-3315750,-6288720,-3195480,-1033790,-2143640
2015-01-05 12:00:00,-18328570,-3143970,-6070090,-3037820,-1001090,-2195860
2015-01-05 13:00:00,-17604250,-2979040,-6057010,-2974270,-952860,-2264940
2015-01-05 14:00:00,-17520010,-3201040,-5937250,-3084270,-939860,-2313940
2015-01-05 15:00:00,-18312880,-3431330,-6037770,-3247070,-981920,-2373240
2015-01-05 16:00:00,-20713640,-3957610,-6797390,-3717850,-1104990,-2685540
2015-01-05 17:00:00,-21382700,-4071900,-6951720,-3664660,-1184060,-2788840
2015-01-05 18:00:00,-20911480,-3979910,-6879600,-3635370,-1174320,-2804790
2015-01-05 19:00:00,-19453610,-3598250,-6466090,-3616340,-1126420,-2672110
2015-01-05 20:00:00,-17984020,-3340550,-5858680,-3300860,-1012750,-2418360
2015-01-05 21:00:00,-16218460,-2985330,-5328820,-2974790,-945190,-2207190
2015-01-05 22:00:00,-14506720,-2642330,-4728560,-2610790,-859190,-1946190
2015-01-05 23:00:00,-13102700,-2499180,-4116760,-2240160,-794390,-1740090
2015-01-06 00:00:00,-11999470,-2337560,-3785590,-2060020,-768660,-1610500
2015-01-06 01:00:00,-11498100,-2221850,-3531340,-1956830,-742730,-1531800
