time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.1272,0.014,0.1137,0.18465,0.0715,0.113,0.1888,0.1229,0.4541,0.2925,0.2837,0.4721,0.7492,0.7005,0.6462,0.5743,0.6993,0.7339,0.5143,0.423
2015-01-01 01:00:00,0.1101,0.0134,0.1191,0.22285,0.0653,0.1199,0.1664,0.1155,0.4386,0.3003,0.2933,0.4722,0.7554,0.689,0.6579,0.5688,0.6892,0.7204,0.5827,0.3906
2015-01-01 02:00:00,0.087,0.0336,0.1068,0.25525,0.0643,0.1335,0.1397,0.0958,0.4146,0.2962,0.3057,0.4353,0.7443,0.6856,0.6625,0.569,0.6909,0.714,0.6171,0.3538
2015-01-01 03:00:00,0.0641,0.0663,0.092,0.26775,0.0636,0.1419,0.1056,0.073,0.4006,0.3096,0.3261,0.4232,0.7063,0.6553,0.6437,0.5567,0.6567,0.7061,0.6347,0.3272
2015-01-01 04:00:00,0.0501,0.0954,0.0832,0.27605,0.066,0.1487,0.0709,0.0557,0.3902,0.3245,0.3388,0.4192,0.6732,0.5921,0.6016,0.5128,0.6042,0.6919,0.6447,0.3246
2015-01-01 05:00:00,0.0355,0.1133,0.0725,0.2732,0.0676,0.1515,0.0427,0.0467,0.376,0.3325,0.349,0.407,0.644,0.515,0.555,0.469,0.5547,0.6644,0.6599,0.3294
2015-01-01 06:00:00,0.0223,0.1086,0.0587,0.25295,0.0647,0.1515,0.0221,0.0402,0.3644,0.3439,0.3658,0.4052,0.6344,0.4666,0.5338,0.4371,0.4896,0.6122,0.668,0.3252
2015-01-01 07:00:00,0.0169,0.0695,0.0445,0.22010000000000002,0.0583,0.1417,0.0121,0.0339,0.351,0.3453,0.3694,0.4113,0.6425,0.3758,0.4948,0.3566,0.3462,0.559,0.6247,0.2881
2015-01-01 08:00:00,0.0119,0.0441,0.0278,0.15165,0.0393,0.0971,0.0078,0.0277,0.3226,0.3206,0.3354,0.4131,0.6797,0.3917,0.4682,0.3317,0.3783,0.514,0.5877,0.2281
2015-01-01 09:00:00,0.0064,0.027,0.0164,0.0761,0.0181,0.0499,0.0062,0.0413,0.3405,0.3985,0.3589,0.4479,0.7401,0.508,0.5435,0.3692,0.4297,0.4698,0.6372,0.3002
2015-01-01 10:00:00,0.0047,0.0136,0.0071,0.025099999999999997,0.0094,0.0244,0.009,0.0505,0.3628,0.445,0.3312,0.4733,0.7406,0.497,0.5427,0.3455,0.4097,0.4603,0.5769,0.2933
2015-01-01 11:00:00,0.006,0.0098,0.0035,0.01695,0.0139,0.0113,0.0182,0.0437,0.351,0.4239,0.3031,0.4442,0.7242,0.4742,0.5237,0.333,0.3971,0.4833,0.5036,0.2737
2015-01-01 12:00:00,0.0089,0.0126,0.0054,0.012199999999999999,0.0251,0.0066,0.029,0.0341,0.3263,0.393,0.2883,0.4087,0.7085,0.4576,0.5153,0.3385,0.3879,0.5226,0.4587,0.2689
2015-01-01 13:00:00,0.0092,0.0109,0.014,0.00845,0.0366,0.005,0.0353,0.0265,0.2791,0.3503,0.2716,0.3772,0.6836,0.4423,0.5086,0.3529,0.3806,0.5538,0.4286,0.2716
2015-01-01 14:00:00,0.0125,0.0058,0.0411,0.023299999999999998,0.0525,0.0051,0.0427,0.0201,0.2383,0.2935,0.2373,0.3738,0.652,0.395,0.4924,0.341,0.3481,0.5573,0.3915,0.2499
2015-01-01 15:00:00,0.0209,0.0118,0.0694,0.05685,0.066,0.0101,0.0514,0.0263,0.2318,0.2755,0.241,0.3923,0.6699,0.397,0.5239,0.3583,0.3595,0.5374,0.3715,0.2017
2015-01-01 16:00:00,0.029,0.0179,0.07,0.06665,0.0617,0.0122,0.0581,0.0363,0.2445,0.2852,0.2728,0.396,0.7015,0.408,0.5683,0.3734,0.3507,0.515,0.3936,0.2006
