locs,hp,tes
R1,1377400.0,9109201.11111
R10,112900.0,763247.333333
R11,107320.0,694876.0
R12,1464880.0,8913389.33333
R13,132400.0,928826.8888889999
R14,818120.0,5220407.11111
R15,44760.0,337670.666667
R16,505660.00000000006,3496705.33333
R17,103959.99999999999,736736.0
R18,439360.00000000006,3174383.3333300003
R2,39780.0,261857.55555599998
R3,2030200.0,12561255.7778
R4,128980.0,839990.666667
R5,463360.00000000006,3223685.11111
R6,212660.0,1533936.44444
R7,418039.99999999994,2495786.2222200003
R8,467020.0,2955781.11111
R9,532700.0,3449264.0
SARD,778360.0,5981328.88889
SICI,726580.0,5055757.77778
