,NORD,CNOR,CSUD,SUD,SARD,SICI
2015-01-01 00:00:00,-23444610.841922775,-4117947.4976731585,-7478958.998781434,-3864395.8113791603,-1395914.54447075,-2893791.8714612387
2015-01-01 01:00:00,-22378098.960946444,-3919148.733195413,-6996987.379981317,-3559224.746743956,-1330954.1782756029,-2715750.4270563773
2015-01-01 02:00:00,-21678220.276682466,-3770319.048149199,-6679592.405995219,-3415550.3052794654,-1297721.0380429593,-2576267.7758476743
2015-01-01 03:00:00,-21970347.00142221,-3820143.134935975,-6643953.264923247,-3419141.0435058395,-1302110.4252128853,-2595391.100864049
2015-01-01 04:00:00,-23638291.62274178,-4061174.1536308266,-6998108.565915661,-3610891.5011362256,-1364616.747946195,-2710495.0271963943
2015-01-01 05:00:00,-26455754.323419172,-4488490.983008926,-7661286.187252607,-4054420.915594628,-1490923.200035082,-2934572.6045918977
2015-01-01 06:00:00,-28783820.80950754,-4843640.433152507,-8232765.675942979,-4260421.396628606,-1617256.6889683735,-3119793.314442454
2015-01-01 07:00:00,-28915633.888308086,-4951960.490182744,-8552762.910268703,-4513887.328621558,-1672553.5528266313,-3328320.727194752
2015-01-01 08:00:00,-28614580.404539995,-4960755.341685123,-8924880.780032672,-4835839.294474963,-1711759.1763521994,-3551235.4908137117
2015-01-01 09:00:00,-29371901.650433797,-5122061.404881114,-9348954.333052862,-4975057.006672673,-1771365.3016505186,-3756875.2784653264
2015-01-01 10:00:00,-30267397.10838494,-5151317.871907402,-9793307.363099197,-5111627.2754756175,-1824883.4203467544,-3938245.712945263
2015-01-01 11:00:00,-30552481.51049068,-5198044.94739243,-10025127.042398619,-5322417.851492095,-1843798.6801714734,-3760702.248230959
2015-01-01 12:00:00,-30065283.409746557,-5026926.063900827,-9786062.385079077,-5070778.527919149,-1759096.1963121656,-3675301.229790288
2015-01-01 13:00:00,-30240884.72640866,-5108771.7730666725,-9353042.605469123,-4888077.062497943,-1705458.64866202,-3737509.230725289
2015-01-01 14:00:00,-31149584.515610285,-5399909.353457819,-9496312.907363217,-4932889.27645682,-1760011.0126750881,-3730444.540645661
2015-01-01 15:00:00,-33503953.853312567,-5882594.405710003,-10007272.2799016,-5138745.158081183,-1852850.0736130052,-3829799.0552641023
2015-01-01 16:00:00,-37354477.15663261,-6553649.573006348,-11145978.055090005,-5595199.248987979,-2019834.1957922955,-4217681.475500374
2015-01-01 17:00:00,-39129606.817069754,-6895270.241829932,-11602171.93778475,-5800836.608998307,-2138869.326744267,-4393335.344680213
2015-01-01 18:00:00,-38512635.86386842,-6848687.497910485,-11480373.333285965,-5798810.061932672,-2122489.7840035707,-4375881.307583225
2015-01-01 19:00:00,-36591589.00171201,-6524872.045313181,-11101602.554325243,-5618685.934353747,-2065878.9816368434,-4284263.269986254
2015-01-01 20:00:00,-33859783.52262101,-6035101.33570739,-10430463.827230167,-5396747.989621888,-1934023.899916006,-4037243.6228884254
2015-01-01 21:00:00,-30595933.325949624,-5441062.753277663,-9501306.956540344,-4879270.080683496,-1761068.5844673645,-3714524.940999649
2015-01-01 22:00:00,-18678027.810245942,-3385831.6792217246,-6198396.624814908,-3178346.406307862,-1183033.2959871108,-2531255.505902404
2015-01-01 23:00:00,-18342272.923077147,-3184491.868300097,-5811234.313346844,-2910521.276745985,-1096772.7562583038,-2324418.3161505694
2015-01-02 00:00:00,-17321383.102818538,-2970425.0715531097,-5382319.632321583,-2702899.427437685,-1026101.0063004121,-2134816.991681014
2015-01-02 01:00:00,-16615072.145554958,-2818580.36574026,-5072275.553497059,-2575200.342537634,-991871.6940580596,-1993710.2992892365
2015-01-02 02:00:00,-16103038.131760443,-2729478.062760245,-4864969.369342271,-2516969.6463946635,-958545.0355317852,-1899910.5497460784
2015-01-02 03:00:00,-15561610.946644425,-2626911.112772968,-4692045.840579116,-2376523.489033741,-924822.9110358012,-1821028.167341746
2015-01-02 04:00:00,-15318312.85390205,-2544979.074466743,-4640665.971808179,-2347633.0203397884,-905700.2857340735,-1761193.1657456532
2015-01-02 05:00:00,-16570527.422082663,-2703441.9624750093,-4950288.967059228,-2484888.904485225,-939961.5837965247,-1812784.935336758
2015-01-02 06:00:00,-18391457.874321066,-2993730.58936302,-5390851.34320546,-2598350.2136746063,-1030182.7790171392,-1954049.144282874
2015-01-02 07:00:00,-20084696.77268631,-3346834.628654967,-6204473.82229981,-3240079.2129390133,-1150261.93764512,-2258196.078092896
2015-01-02 08:00:00,-21748467.746614818,-3653575.2088029976,-7038200.994802112,-3629383.87504789,-1232428.9800588451,-2524314.295217013
2015-01-02 09:00:00,-22313724.3785942,-3819090.321893925,-7364614.65412129,-3799879.4804936186,-1295970.6696235565,-2643137.8953416534
2015-01-02 10:00:00,-22861969.418591373,-3815722.923358852,-7413452.444218225,-3789961.2659720643,-1297801.4098442877,-2640068.364385105
2015-01-02 11:00:00,-22418243.640403118,-3711952.3846502807,-7416950.6350205345,-3768470.0058840807,-1298890.8499900368,-2638745.0541034522
2015-01-02 12:00:00,-21440159.56005201,-3536071.9109860477,-7247098.842911397,-3653515.1580073354,-1255511.3955307305,-2625521.248003946
2015-01-02 13:00:00,-21786486.24201737,-3620859.3490594197,-7213415.99098788,-3648928.5696915598,-1215592.572923171,-2704883.0164170996
2015-01-02 14:00:00,-22695940.039488383,-3942352.3571946155,-7326892.884744836,-3617934.181031818,-1230359.9412227166,-2815578.189618229
