time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0032,0.004,0.0071,0.0107,0.023,0.0211,0.0
2015-01-01 07:00:00,0.0718,0.0446,0.0716,0.023649999999999997,0.0195,0.0086,0.0851,0.053,0.0481,0.0169,0.0367,0.0592,0.0745,0.0869,0.1252,0.1061,0.1311,0.1805,0.2019,0.0459
2015-01-01 08:00:00,0.2759,0.2433,0.2558,0.13724999999999998,0.0965,0.0422,0.2692,0.1909,0.1633,0.0821,0.1097,0.1686,0.1477,0.1787,0.2532,0.2522,0.2673,0.3295,0.3822,0.1413
2015-01-01 09:00:00,0.4152,0.3937,0.3892,0.29205000000000003,0.1949,0.0877,0.4078,0.3027,0.3106,0.1923,0.1743,0.2849,0.2197,0.3253,0.3651,0.3802,0.4056,0.42,0.4861,0.2648
2015-01-01 10:00:00,0.4931,0.4942,0.4625,0.40345,0.2797,0.1338,0.4822,0.3696,0.4266,0.375,0.2412,0.4103,0.3171,0.3996,0.4164,0.4474,0.4415,0.4635,0.529,0.3569
2015-01-01 11:00:00,0.5124,0.5177,0.4776,0.43565,0.3,0.1587,0.4909,0.393,0.4483,0.4096,0.2658,0.4266,0.3532,0.4035,0.4134,0.4512,0.4284,0.4634,0.5187,0.4242
2015-01-01 12:00:00,0.4626,0.471,0.4363,0.40715,0.2705,0.1575,0.4271,0.3786,0.4155,0.3925,0.2998,0.3877,0.3141,0.3775,0.3677,0.3845,0.3568,0.3907,0.4528,0.4123
2015-01-01 13:00:00,0.3396,0.3799,0.3371,0.3184,0.2074,0.1391,0.3065,0.3001,0.3197,0.3055,0.2603,0.2964,0.2314,0.2602,0.2604,0.2412,0.229,0.2807,0.3291,0.2828
2015-01-01 14:00:00,0.1613,0.2075,0.1829,0.16465000000000002,0.1029,0.0798,0.1313,0.16,0.1624,0.164,0.1367,0.1528,0.108,0.1137,0.111,0.081,0.0926,0.1309,0.176,0.0905
2015-01-01 15:00:00,0.0191,0.0262,0.0182,0.0069,0.003,0.0004,0.0126,0.0116,0.011,0.0122,0.0067,0.008,0.0035,0.0051,0.0041,0.0004,0.0024,0.0062,0.034,0.0083
2015-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0026,0.0006,0.0126,0.0244,0.0
2015-01-02 07:00:00,0.0079,0.0088,0.038,0.10625,0.0569,0.0763,0.013,0.0121,0.006,0.0172,0.0174,0.0809,0.0334,0.0294,0.0335,0.0389,0.0312,0.1137,0.2136,0.1086
2015-01-02 08:00:00,0.0605,0.079,0.1566,0.3022,0.1954,0.243,0.0669,0.058,0.0272,0.0493,0.0607,0.1614,0.0711,0.101,0.1375,0.0858,0.0862,0.1945,0.3777,0.2502
2015-01-02 09:00:00,0.1288,0.1686,0.2633,0.44025000000000003,0.3122,0.3756,0.128,0.1108,0.0579,0.083,0.1109,0.2053,0.1038,0.2231,0.2452,0.1397,0.1284,0.2517,0.4912,0.3389
2015-01-02 10:00:00,0.1991,0.2608,0.3407,0.5117,0.3817,0.45,0.1764,0.15,0.0898,0.1001,0.1553,0.2104,0.142,0.356,0.2786,0.166,0.1332,0.2948,0.5466,0.3989
2015-01-02 11:00:00,0.2463,0.3088,0.3906,0.52765,0.3951,0.4603,0.2083,0.163,0.1173,0.0783,0.1601,0.2169,0.1605,0.3436,0.1707,0.1677,0.1325,0.307,0.5452,0.4395
2015-01-02 12:00:00,0.2556,0.2802,0.38,0.47445000000000004,0.3628,0.4134,0.2197,0.1495,0.1209,0.0671,0.1493,0.2413,0.1642,0.2718,0.1169,0.1578,0.1225,0.2741,0.4928,0.3742
2015-01-02 13:00:00,0.2038,0.1867,0.3027,0.3607,0.2751,0.3068,0.1895,0.1059,0.0921,0.0428,0.0891,0.1769,0.1126,0.1892,0.0875,0.1032,0.0852,0.2049,0.3859,0.3026
2015-01-02 14:00:00,0.111,0.0855,0.1636,0.18525,0.1333,0.14,0.1207,0.049,0.0475,0.0145,0.0254,0.0838,0.0433,0.0944,0.0477,0.0348,0.0341,0.0987,0.2274,0.1807
2015-01-02 15:00:00,0.0175,0.0099,0.0169,0.009600000000000001,0.0049,0.0015,0.0232,0.0029,0.0045,0.0,0.0,0.0052,0.0004,0.0046,0.0011,0.0,0.0005,0.0062,0.0418,0.0497
2015-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
