time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.083,0.6282,0.2685,0.20635,0.0126,0.0096,0.0137,0.0893,0.0285,0.018,0.0642,0.0133,0.0117,0.034,0.0464,0.1484,0.1363,0.2284,0.0627,0.3239
2015-01-01 01:00:00,0.0726,0.5695,0.2461,0.20165000000000002,0.0152,0.0126,0.0125,0.0783,0.0283,0.0217,0.0657,0.015,0.0111,0.031,0.0401,0.1401,0.1253,0.2097,0.0473,0.2939
2015-01-01 02:00:00,0.0644,0.5574,0.2264,0.1913,0.0216,0.0164,0.0151,0.0702,0.0263,0.0233,0.0648,0.0154,0.0108,0.028,0.0348,0.1345,0.1212,0.1903,0.0383,0.2873
2015-01-01 03:00:00,0.059,0.5039,0.1711,0.1575,0.031,0.0207,0.0207,0.0642,0.0298,0.0225,0.0589,0.0163,0.0085,0.0237,0.0262,0.124,0.1146,0.1788,0.039,0.2784
2015-01-01 04:00:00,0.0562,0.4203,0.1392,0.13275,0.036,0.0262,0.0255,0.0613,0.0362,0.0216,0.0497,0.0179,0.0054,0.019,0.0161,0.1081,0.1032,0.1697,0.0419,0.2559
2015-01-01 05:00:00,0.0543,0.3657,0.0996,0.1105,0.035,0.0307,0.0294,0.0547,0.0382,0.0244,0.0471,0.0194,0.0032,0.0157,0.0094,0.0926,0.0894,0.1576,0.0415,0.2451
2015-01-01 06:00:00,0.0531,0.2714,0.0803,0.1071,0.0311,0.0345,0.0304,0.0451,0.0356,0.0278,0.0471,0.021,0.0022,0.0138,0.006,0.0812,0.0772,0.1431,0.0384,0.2325
2015-01-01 07:00:00,0.0493,0.2353,0.0759,0.107,0.0249,0.0349,0.0281,0.035,0.0321,0.025,0.042,0.0229,0.0015,0.0118,0.0036,0.0696,0.0609,0.1153,0.0323,0.2022
2015-01-01 08:00:00,0.04,0.2058,0.074,0.10525,0.0175,0.0256,0.0226,0.0219,0.0243,0.0159,0.0274,0.0157,0.0007,0.0049,0.0006,0.0504,0.0365,0.1065,0.0239,0.2021
2015-01-01 09:00:00,0.0274,0.1545,0.063,0.097,0.0082,0.0129,0.0161,0.0084,0.0132,0.0081,0.015,0.0064,0.0013,0.0016,0.0003,0.0398,0.0351,0.1044,0.0235,0.2327
2015-01-01 10:00:00,0.0161,0.0693,0.0564,0.0721,0.0053,0.0085,0.0132,0.0056,0.0072,0.0102,0.014,0.0068,0.0043,0.006,0.0014,0.0413,0.0408,0.1012,0.0259,0.2534
2015-01-01 11:00:00,0.009,0.0302,0.0558,0.05215,0.0051,0.0101,0.0157,0.0057,0.0049,0.0117,0.0149,0.0072,0.0059,0.0131,0.0026,0.0476,0.0498,0.1015,0.0296,0.268
2015-01-01 12:00:00,0.0088,0.0126,0.0394,0.02985,0.0041,0.009,0.0254,0.0049,0.0046,0.0118,0.0145,0.007,0.0052,0.0184,0.0032,0.0535,0.057,0.1018,0.0346,0.2748
2015-01-01 13:00:00,0.0141,0.0089,0.0236,0.0169,0.0038,0.0082,0.0399,0.0037,0.0068,0.0102,0.0124,0.0074,0.0025,0.0193,0.0027,0.0553,0.0562,0.0992,0.037,0.2699
2015-01-01 14:00:00,0.0237,0.0078,0.0179,0.0137,0.0042,0.0052,0.0571,0.0034,0.0116,0.007,0.0095,0.0098,0.0009,0.0162,0.0055,0.0522,0.0438,0.095,0.0338,0.2441
