time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558,0.3558
2015-01-01 01:00:00,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661,0.3661
2015-01-01 02:00:00,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747,0.3747
2015-01-01 03:00:00,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819,0.3819
2015-01-01 04:00:00,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667,0.3667
2015-01-01 05:00:00,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299,0.3299
2015-01-01 06:00:00,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917,0.2917
2015-01-01 07:00:00,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434,0.2434
2015-01-01 08:00:00,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082
2015-01-01 09:00:00,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849,0.1849
2015-01-01 10:00:00,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968,0.1968
2015-01-01 11:00:00,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353
2015-01-01 12:00:00,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732,0.2732
2015-01-01 13:00:00,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288,0.288
2015-01-01 14:00:00,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715,0.2715
2015-01-01 15:00:00,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668,0.2668
