,NORD,CNOR,CSUD,SUD,SARD,SICI
2015-01-01 00:00:00,-22119302.245800454,-3897088.1971997046,-7134241.385747706,-3684861.8174409415,-1333853.4178675213,-2765311.782765832
2015-01-01 01:00:00,-21274294.52561729,-3735202.5366947805,-6709883.809298981,-3409696.9919393887,-1279265.5775930143,-2608743.732790293
2015-01-01 02:00:00,-20846878.604971763,-3631778.0769326272,-6463357.396635079,-3302931.9376885546,-1258791.2364182395,-2495674.5826622583
2015-01-01 03:00:00,-21441281.285809174,-3731975.6815619706,-6506341.337287885,-3347470.73120446,-1277335.5052778923,-2544101.6047674073
2015-01-01 04:00:00,-23614751.872102965,-4057251.3141694204,-6991985.790680245,-3607702.6699003438,-1363514.436040214,-2708213.000762104
2015-01-01 05:00:00,-26957963.446272865,-4572182.853633913,-7791912.616885989,-4122453.0779769896,-1514440.4880432573,-2983258.5278830263
2015-01-01 06:00:00,-29852570.75899358,-5021744.8889110815,-8510751.446649278,-4405200.467340066,-1667303.7694116107,-3223401.7032395517
2015-01-01 07:00:00,-29902880.816079367,-5116482.675053571,-8809549.446937926,-4647625.527003888,-1718784.0358645662,-3424027.9256656924
2015-01-01 08:00:00,-29668514.643487055,-5136390.797034863,-9199012.930240816,-4978611.343052953,-1761112.4714459963,-3653407.592387062
2015-01-01 09:00:00,-30283081.492090203,-5273907.203680394,-9585955.54241592,-5098490.716110011,-1814033.7395349501,-3845208.265375702
2015-01-01 10:00:00,-31098191.09511281,-5289767.572817162,-10009399.9175922,-5224171.450480232,-1863787.5751544551,-4018785.811617162
2015-01-01 11:00:00,-31127165.528908014,-5293814.574687001,-10174604.457437713,-5400267.883839886,-1870709.7993841635,-3816414.143463605
2015-01-01 12:00:00,-30408815.946986012,-5084174.885863176,-9875416.454450611,-5117315.4391251765,-1775183.027974109,-3708604.4853365226
2015-01-01 13:00:00,-29983049.649313495,-5065804.214468341,-9285978.758910922,-4853149.226593383,-1693384.830225186,-3712513.789157266
2015-01-01 14:00:00,-30045774.34783117,-5215962.201659008,-9209207.845649682,-4783360.745101312,-1708322.1435551685,-3623437.290655664
2015-01-01 15:00:00,-31294441.18577684,-5514384.749810254,-9432569.954006169,-4839431.749098234,-1749383.7218572085,-3615601.105949349
2015-01-01 16:00:00,-34227713.911252126,-6032582.445590612,-10332695.49914582,-5171629.753411739,-1873415.1276615618,-3914562.0207021297
2015-01-01 17:00:00,-35140441.50900374,-6230486.008187857,-10564575.451187633,-5260441.125008875,-1952065.9709451294,-4006611.592868332
2015-01-01 18:00:00,-34637207.04581656,-6202857.160512899,-10472360.12372125,-5273821.9829570595,-1941012.4441427796,-4000183.5721781463
2015-01-01 19:00:00,-32966657.238062814,-5920786.403730521,-10158744.544778336,-5127631.640142118,-1896131.837635723,-3932849.6023535863
2015-01-01 20:00:00,-30464280.828918647,-5469249.4640142415,-9547281.157890076,-4936773.488730548,-1775020.3869439843,-3708071.618323755
2015-01-01 21:00:00,-27380761.39972936,-4905262.54447757,-8665028.979363915,-4443724.232115647,-1610509.5429368692,-3402834.836928494
2015-01-01 22:00:00,-17250412.67059286,-3147923.253960147,-5827068.705632978,-2984953.374240838,-1116181.3913198307,-2392857.4601172954
2015-01-01 23:00:00,-17410388.391188335,-3029195.6856320123,-5568847.738329023,-2784282.7898088605,-1053134.7657688763,-2234078.1435588705
2015-01-02 00:00:00,-16652959.117544075,-2859033.9176442497,-5208460.10905849,-2612350.8351539373,-994800.2619333058,-2070017.6135094152
2015-01-02 01:00:00,-16094659.347565614,-2731854.899039408,-4936914.281382792,-2504702.2046752824,-967501.9701790663,-1943259.6475395025
2015-01-02 02:00:00,-15787653.6497285,-2676920.0424730745,-4782936.712078877,-2474245.834105963,-943776.3119866829,-1869336.0659291188
2015-01-02 03:00:00,-15512876.570508467,-2618789.653171868,-4679369.851105095,-2369921.6476095053,-922540.7932738306,-1816303.6850688749
2015-01-02 04:00:00,-15740480.757673342,-2615332.27988779,-4750473.387615555,-2404822.334661259,-925469.4291625763,-1802119.611012506
2015-01-02 05:00:00,-17482557.161462553,-2855429.3945642505,-5187511.23792858,-2608437.746000618,-982669.820419432,-1901200.3143294118
2015-01-02 06:00:00,-19383696.791902814,-3159084.676615478,-5648936.314682083,-2732764.655967973,-1076647.0253555882,-2050240.2838491127
2015-01-02 07:00:00,-20766670.48396998,-3460483.809876677,-6381857.678854651,-3332463.32974461,-1182197.1842434474,-2324309.014483731
2015-01-02 08:00:00,-22238953.882478587,-3735313.4735179134,-7165778.232643774,-3695827.973577542,-1255397.307785711,-2571863.7508109976
2015-01-02 09:00:00,-22575718.00442237,-3862750.8920420506,-7432760.154414417,-3835370.6575439367,-1308239.2232489795,-2668536.481287992
2015-01-02 10:00:00,-23024067.72229062,-3842736.1926213456,-7455614.805868571,-3811920.042938339,-1305392.0973094427,-2655782.7455470394
2015-01-02 11:00:00,-22382185.540997628,-3705943.3942654,-7407571.79148631,-3763585.3664732818,-1297202.332856123,-2635249.4547967245
2015-01-02 12:00:00,-21205091.122633535,-3496898.3548772787,-7185956.6825997885,-3621671.4232409312,-1244503.6860072764,-2602732.8847673517
2015-01-02 13:00:00,-21101689.08354491,-3506739.647558233,-7035297.745492763,-3556161.9723437247,-1183525.1108438955,-2638496.365099565
2015-01-02 14:00:00,-21419901.404500015,-3729703.7701974316,-6994990.5688019525,-3445074.5819699625,-1170606.0125842611,-2691874.504694012
2015-01-02 15:00:00,-22195638.55821714,-3912840.533653458,-7106196.765289892,-3564547.5451126443,-1196090.4947598118,-2757175.3042285726
2015-01-02 16:00:00,-24146797.82442949,-4344556.900978033,-7832449.165179108,-3947795.225215276,-1305274.8798154958,-3041433.5265323813
2015-01-02 17:00:00,-24343257.478792727,-4390953.694891644,-7937866.878093543,-3985491.9973630696,-1364824.3813502498,-3126500.8963024793
2015-01-02 18:00:00,-24196093.986104146,-4381657.612413762,-8043743.242599502,-4063269.965150189,-1400229.1094213054,-3207251.611537117
2015-01-02 19:00:00,-23040876.664513133,-4041727.3485334544,-7681140.1529265195,-4049777.751684108,-1380083.6517865146,-3146652.666858418
2015-01-02 20:00:00,-21964470.819845974,-3832978.2743411493,-7264747.930520331,-3780883.9240801795,-1312824.0547996508,-2997519.6131874085
2015-01-02 21:00:00,-20402713.060937233,-3569847.7092088084,-6828860.323520457,-3480002.200321844,-1251482.221313251,-2805707.841077975
2015-01-02 22:00:00,-20879781.48138067,-3673075.040992008,-6682001.464392052,-3492710.41736446,-1254887.5186141115,-2720060.2680939096
2015-01-02 23:00:00,-18726871.37286735,-3254604.1336341416,-5869131.895768824,-3040728.988106045,-1117622.3361978864,-2375685.603128319
2015-01-03 00:00:00,-17454575.218069747,-3032444.8033006596,-5370939.957948356,-2797025.7026926097,-1045428.6088447153,-2166722.7976702135
2015-01-03 01:00:00,-16797218.358466767,-2922600.1410503644,-5081171.984864794,-2653584.4239706383,-1008819.2783416192,-2034250.6951069855
2015-01-03 02:00:00,-16619627.000063872,-2896224.150887464,-4943850.751920842,-2592969.005644995,-994680.6150036477,-1966104.068587592
2015-01-03 03:00:00,-16874894.771846887,-2905141.53543808,-4951049.069743871,-2627540.0587962857,-1000211.3483353836,-1983834.768476788
2015-01-03 04:00:00,-17913920.929078437,-3053116.673673191,-5259754.416448088,-2738550.93201888,-1043684.2402103468,-2091358.5636343725
2015-01-03 05:00:00,-20360144.52700885,-3449656.4567074142,-5949681.250562712,-3066309.6523597944,-1152415.6439039537,-2301383.6510432437
2015-01-03 06:00:00,-23101378.61966711,-3920393.2596156145,-6635541.961582318,-3387409.422746495,-1293425.4358081669,-2540633.9706596294
2015-01-03 07:00:00,-24241236.11727628,-4196044.717143858,-7175348.380371043,-3806693.64756436,-1379980.4760790204,-2825993.6805829625
2015-01-03 08:00:00,-25182940.730911072,-4425540.166772095,-7678085.546966358,-4085194.195205446,-1424449.8034250925,-3073560.921911014
