time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.0588,0.278,0.0898,0.1529,0.009,0.0109,0.1163,0.1051,0.1275,0.1532,0.2475,0.0635,0.12,0.1456,0.2798,0.2506,0.1381,0.0678,0.0286,0.1348
2015-01-01 01:00:00,0.0705,0.2801,0.1059,0.17065,0.0096,0.0105,0.1439,0.1163,0.1386,0.1608,0.2653,0.075,0.1371,0.1724,0.3095,0.2738,0.174,0.0627,0.0242,0.1241
2015-01-01 02:00:00,0.0795,0.2375,0.1234,0.1853,0.0104,0.0129,0.1601,0.1344,0.1576,0.1662,0.2814,0.0819,0.1577,0.1952,0.3328,0.2922,0.2089,0.0655,0.0223,0.1138
2015-01-01 03:00:00,0.0774,0.2432,0.1578,0.1522,0.0083,0.0114,0.1633,0.1466,0.164,0.1696,0.2876,0.0863,0.164,0.2102,0.3423,0.3029,0.2352,0.0723,0.0211,0.1057
2015-01-01 04:00:00,0.0694,0.2779,0.18,0.13235,0.0066,0.0113,0.1601,0.1421,0.1592,0.1849,0.3176,0.0937,0.1713,0.2189,0.3394,0.2995,0.2644,0.0742,0.0198,0.1072
2015-01-01 05:00:00,0.0679,0.3519,0.174,0.1287,0.0056,0.012,0.1611,0.1411,0.1643,0.199,0.3295,0.1118,0.1849,0.2224,0.3364,0.277,0.2842,0.0752,0.0186,0.1187
2015-01-01 06:00:00,0.0737,0.4868,0.2017,0.13265,0.009,0.013,0.1732,0.1497,0.1745,0.2014,0.3178,0.1127,0.207,0.2352,0.3284,0.2665,0.2902,0.0795,0.0173,0.1376
2015-01-01 07:00:00,0.0883,0.5139,0.2288,0.15460000000000002,0.0162,0.0149,0.2032,0.1725,0.1856,0.2001,0.2902,0.1217,0.2408,0.2425,0.3339,0.2595,0.244,0.0764,0.0141,0.1504
2015-01-01 08:00:00,0.101,0.4513,0.2081,0.15985,0.009,0.0149,0.2233,0.1735,0.1901,0.2123,0.2806,0.1204,0.2497,0.2259,0.3069,0.2398,0.1881,0.0705,0.0081,0.1671
2015-01-01 09:00:00,0.111,0.4213,0.1546,0.1452,0.0105,0.0181,0.251,0.1956,0.2079,0.2576,0.3292,0.156,0.3013,0.352,0.394,0.363,0.2342,0.0809,0.0117,0.2267
2015-01-01 10:00:00,0.1169,0.5453,0.1376,0.177,0.0244,0.0229,0.2827,0.2326,0.25,0.4258,0.4712,0.2349,0.4143,0.4943,0.4888,0.4573,0.3492,0.102,0.0258,0.2483
2015-01-01 11:00:00,0.1072,0.6049,0.1294,0.20600000000000002,0.0401,0.0248,0.2806,0.2672,0.2928,0.4594,0.4874,0.2799,0.4682,0.5664,0.5523,0.5083,0.4026,0.122,0.0455,0.2731
2015-01-01 12:00:00,0.096,0.6683,0.1122,0.20350000000000001,0.0491,0.0275,0.2612,0.278,0.3295,0.4554,0.5069,0.2601,0.4929,0.6125,0.6046,0.5521,0.463,0.1467,0.069,0.2937
2015-01-01 13:00:00,0.1031,0.7748,0.0751,0.1788,0.0656,0.0362,0.2458,0.273,0.3613,0.4583,0.5431,0.2299,0.4823,0.6318,0.6289,0.5739,0.5097,0.1702,0.0923,0.3007
