,NORD,CNOR,CSUD,SUD,SARD,SICI
2015-01-01 00:00:00,-25011482.004291818,-4379062.584276668,-7886507.918786622,-4076653.272463922,-1469287.4855829184,-3045689.8871418596
2015-01-01 01:00:00,-23907225.26334546,-4173973.7350640614,-7394718.723860286,-3766369.0700426316,-1402559.6151702064,-2863989.3229131824
2015-01-01 02:00:00,-23272705.2675338,-4036035.908905413,-7094323.78378344,-3631548.49582894,-1372387.0706739284,-2730842.773435004
2015-01-01 03:00:00,-23501457.389947753,-4075298.779701882,-7042200.67686032,-3626554.1426259764,-1373808.772257359,-2743822.3410263695
2015-01-01 04:00:00,-25006844.705428563,-4289240.037597291,-7354074.2280671485,-3796283.644196423,-1428702.9135202875,-2843167.388910814
2015-01-01 05:00:00,-27891477.477691106,-4727750.588246387,-8034723.030691145,-4248912.306377268,-1558154.7842149176,-3073756.669905153
2015-01-01 06:00:00,-30645981.8433134,-5153964.824391367,-8717120.57150176,-4512680.537430582,-1704457.369634568,-3300317.7715300513
2015-01-01 07:00:00,-30912275.969731797,-5284695.805330737,-9072096.818163732,-4784364.052602629,-1766051.6689326665,-3521882.2512540314
2015-01-01 08:00:00,-30662874.21653311,-5302098.286116723,-9457649.491959788,-5113313.061642864,-1807676.0231595386,-3749804.3157720002
2015-01-01 09:00:00,-31417833.310543492,-5463010.7027204335,-9881108.640635772,-5252210.783037557,-1867171.5343657732,-3955215.1080904664
2015-01-01 10:00:00,-32267342.07790301,-5484603.6049401,-10313500.364267547,-5382551.427846458,-1918536.2030389565,-4132127.430623263
2015-01-01 11:00:00,-32574017.088100176,-5534928.7002476975,-10550935.839697018,-5596266.792937381,-1938462.500946522,-3956677.035591515
2015-01-01 12:00:00,-32070555.080498964,-5361099.478121053,-10307640.880720349,-5342424.266153021,-1852998.4160642715,-3869699.336669296
2015-01-01 13:00:00,-32177804.12283082,-5431554.45494085,-9856842.42456556,-5150463.404964538,-1796160.0899967528,-3925281.0271025947
2015-01-01 14:00:00,-33033159.20348159,-5713802.27558172,-9986237.572662693,-5188049.235113918,-1848214.4450776565,-3913044.912868549
2015-01-01 15:00:00,-35456474.62907222,-6207977.017696292,-10515130.074824188,-5403244.953936372,-1944282.0913441197,-4019083.304368959
2015-01-01 16:00:00,-39432122.32187703,-6899883.845665956,-11686381.161347399,-5876649.120809632,-2117125.498372,-4419095.724143449
2015-01-01 17:00:00,-41258279.95975318,-7250008.196903379,-12155847.6076037,-6089199.02678776,-2238550.151113399,-4599696.425394321
2015-01-01 18:00:00,-40714497.493261166,-7215622.127799611,-12053085.596177503,-6097087.016885514,-2225597.855394909,-4589337.538280821
2015-01-01 19:00:00,-38705385.782179445,-6877130.892530368,-11651408.827923024,-5905033.113781565,-2164863.1804792234,-4489182.1836891705
2015-01-01 20:00:00,-35802523.145422846,-6358853.943476995,-10935777.508494848,-5659922.773731905,-2024997.8889481311,-4225579.652534628
2015-01-01 21:00:00,-32380029.791580662,-5738377.883149547,-9965356.972403578,-5120954.142028131,-1844613.6825297042,-3887481.5435721427
2015-01-01 22:00:00,-20099608.92270196,-3622734.5492264493,-6568155.071454035,-3370922.034031934,-1249602.6411607754,-2669068.591813458
2015-01-01 23:00:00,-19603133.022625804,-3394610.991043269,-6139188.636707899,-3081324.7033076417,-1155815.909299037,-2446650.540325746
2015-01-02 00:00:00,-18562260.93637489,-3177214.200586252,-5705076.495214919,-2870995.9402797506,-1084208.436187159,-2255112.064528161
2015-01-02 01:00:00,-17915662.944043558,-3035320.5082224356,-5410563.97696341,-2751385.920157176,-1052775.3435478164,-2119794.1575205633
2015-01-02 02:00:00,-17417563.86412039,-2948540.4264639337,-5206882.320074171,-2695042.931028638,-1020101.2256431963,-2027345.3096051419
2015-01-02 03:00:00,-16878445.425396755,-2846358.2231799406,-5034559.304691682,-2554909.529852975,-986487.2143840624,-1948686.7452173354
2015-01-02 04:00:00,-16733976.508817345,-2780895.8152508107,-5008885.266098462,-2539407.034923077,-971992.530100667,-1898432.5924561957
2015-01-02 05:00:00,-18225884.297578406,-2979302.9676971994,-5380853.344676226,-2709133.153802244,-1017478.1055517226,-1973261.0680718205
2015-01-02 06:00:00,-20187727.755192343,-3293074.3878651382,-5858067.708895718,-2841683.3564968263,-1114297.9298706767,-2128185.880655426
2015-01-02 07:00:00,-21870562.770127025,-3644444.6464939215,-6668984.099858625,-3482002.985332171,-1233889.898776476,-2431324.225318855
2015-01-02 08:00:00,-23449755.279355876,-3937090.4410174275,-7480712.104355357,-3859850.1577566685,-1312096.3279254946,-2689243.107829036
2015-01-02 09:00:00,-23953645.055067755,-4092378.923882646,-7791164.019916279,-4022032.65270619,-1372764.3499932901,-2802117.5885114004
2015-01-02 10:00:00,-24502393.969383404,-4089095.494718806,-7840132.8695663195,-4012182.695924082,-1374618.6854792773,-2799096.9049080787
2015-01-02 11:00:00,-24069526.09584997,-3987134.398153511,-7846455.241081037,-3992162.3106151368,-1376216.5761077292,-2798826.1981914965
2015-01-02 12:00:00,-23069773.804348454,-3807642.9723146735,-7670967.468002386,-3874272.161103202,-1331822.4495943775,-2783501.7992952485
2015-01-02 13:00:00,-23389398.38912651,-3887980.5739324326,-7630339.302940227,-3866068.3517352194,-1290653.229729182,-2860274.972248434
2015-01-02 14:00:00,-24334482.518038828,-4215411.286011289,-7753083.776219403,-3839900.6545552704,-1307089.083781377,-2974424.27542142
2015-01-02 15:00:00,-25899800.291002393,-4530129.647703679,-8069662.779584698,-4066334.7907592966,-1369547.7943878628,-3116269.8044550377
2015-01-02 16:00:00,-28361001.749520645,-5046843.246717704,-8928579.019120477,-4518675.746291972,-1502616.2719200465,-3449973.3154241387
2015-01-02 17:00:00,-28865620.38607089,-5144593.949780903,-9114150.010362102,-4598117.522585851,-1576596.1436066176,-3564914.7035772125
2015-01-02 18:00:00,-28289920.302857965,-5063883.336462877,-9108562.440343386,-4617843.436782879,-1591933.4974250179,-3604121.570593489
2015-01-02 19:00:00,-26860732.089738425,-4678296.521625214,-8674698.519762972,-4567237.536343931,-1558958.6186014565,-3516962.921596463
2015-01-02 20:00:00,-25593576.88081423,-4437759.551935341,-8208691.690066997,-4272503.692832433,-1482766.6714591058,-3349337.951921858
2015-01-02 21:00:00,-23797476.7187349,-4135576.4224516056,-7711850.766918787,-3939876.5871204943,-1410451.1269485513,-3134808.200896009
2015-01-02 22:00:00,-24551637.46533338,-4284980.484318819,-7637064.635260501,-3990121.338785915,-1426832.014979455,-3076022.9351099646
2015-01-02 23:00:00,-21814304.347966682,-3769116.971726516,-6672184.50456639,-3458970.577014431,-1262199.6590246211,-2674992.2428366127
2015-01-03 00:00:00,-20174850.22967854,-3485771.7023468083,-6078493.43759887,-3165529.9430434257,-1172812.7761133865,-2430435.8497020137
2015-01-03 01:00:00,-19331507.745993186,-3344933.009760381,-5740349.923467849,-2996893.972304593,-1127494.1703544527,-2279933.6449059253
2015-01-03 02:00:00,-18989290.786043596,-3291122.5825886163,-5560208.969460093,-2913977.4145789356,-1105646.4720569141,-2195827.6320593483
2015-01-03 03:00:00,-18936140.551801343,-3248642.892327026,-5487186.635908248,-2906768.374711749,-1096734.7057514687,-2183659.2028813013
2015-01-03 04:00:00,-19578656.48907742,-3330540.6127696554,-5692758.224205972,-2964065.6723684627,-1121639.9440006046,-2252743.8991168924
2015-01-03 05:00:00,-21737422.899962667,-3679176.3880636306,-6307916.3926245235,-3252883.7738773082,-1216910.3945770166,-2434901.873163823
2015-01-03 06:00:00,-24454829.797455575,-4145942.4496125267,-6987579.563036063,-3570755.774124361,-1356804.4142149943,-2671842.3004599106
2015-01-03 07:00:00,-25866676.64804893,-4466920.239748945,-7598131.407309557,-4026885.255203897,-1456096.0848221108,-2983569.6173676546
2015-01-03 08:00:00,-26873702.230862632,-4707301.262443947,-8117858.796893152,-4314234.5604241,-1503624.24159849,-3237469.303786858
