time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604,0.0604
2015-01-01 01:00:00,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059
2015-01-01 02:00:00,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596,0.0596
2015-01-01 03:00:00,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579,0.0579
2015-01-01 04:00:00,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505
2015-01-01 05:00:00,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419
2015-01-01 06:00:00,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346
2015-01-01 07:00:00,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236
2015-01-01 08:00:00,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057
2015-01-01 09:00:00,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113
2015-01-01 10:00:00,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302,0.0302
2015-01-01 11:00:00,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562
2015-01-01 12:00:00,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851
2015-01-01 13:00:00,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105
2015-01-01 14:00:00,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355,0.1355
2015-01-01 15:00:00,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675,0.1675
2015-01-01 16:00:00,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831,0.1831
2015-01-01 17:00:00,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912,0.1912
2015-01-01 18:00:00,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054,0.2054
2015-01-01 19:00:00,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396,0.2396
2015-01-01 20:00:00,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724,0.2724
2015-01-01 21:00:00,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131
2015-01-01 22:00:00,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497,0.3497
2015-01-01 23:00:00,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715,0.3715
2015-01-02 00:00:00,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685,0.3685
2015-01-02 01:00:00,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542,0.3542
2015-01-02 02:00:00,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573,0.3573
2015-01-02 03:00:00,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894,0.3894
2015-01-02 04:00:00,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382,0.4382
2015-01-02 05:00:00,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857,0.4857
2015-01-02 06:00:00,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044,0.5044
2015-01-02 07:00:00,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757
2015-01-02 08:00:00,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622,0.4622
2015-01-02 09:00:00,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723
2015-01-02 10:00:00,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489,0.6489
