time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0003,0.0063,0.0016,0.0106,0.0073,0.0152,0.0076,0.0
2015-01-01 07:00:00,0.0677,0.0425,0.0518,0.04525,0.0356,0.0473,0.0519,0.0278,0.025,0.0549,0.047,0.1241,0.0809,0.1387,0.0723,0.1105,0.1065,0.1473,0.0935,0.0585
2015-01-01 08:00:00,0.2721,0.2266,0.2097,0.1614,0.1378,0.1656,0.2363,0.1324,0.1,0.1306,0.1268,0.2629,0.2118,0.2914,0.1893,0.2313,0.2463,0.3147,0.2009,0.1948
2015-01-01 09:00:00,0.415,0.3585,0.336,0.26265,0.2178,0.2761,0.3949,0.2495,0.2026,0.2196,0.2064,0.3375,0.315,0.3896,0.2608,0.3113,0.3376,0.4311,0.3033,0.3061
2015-01-01 10:00:00,0.4967,0.4399,0.4063,0.32745,0.2102,0.3074,0.4748,0.2987,0.3141,0.3379,0.3224,0.3744,0.3826,0.4664,0.3659,0.349,0.3908,0.4701,0.3454,0.3476
2015-01-01 11:00:00,0.5202,0.4746,0.4383,0.34535,0.1834,0.2652,0.4931,0.2715,0.3555,0.3723,0.3776,0.3775,0.3995,0.4709,0.4175,0.3119,0.3609,0.4491,0.3329,0.2982
2015-01-01 12:00:00,0.4861,0.4581,0.41,0.30495,0.1488,0.1754,0.4612,0.2147,0.3278,0.3208,0.3105,0.3224,0.3593,0.4149,0.3681,0.2503,0.3053,0.3887,0.2808,0.216
2015-01-01 13:00:00,0.3904,0.3429,0.3209,0.21234999999999998,0.0974,0.0866,0.3705,0.1598,0.2449,0.2189,0.178,0.2214,0.2586,0.3044,0.2396,0.1611,0.224,0.2627,0.2052,0.1507
2015-01-01 14:00:00,0.2341,0.1797,0.172,0.1,0.0412,0.0197,0.2209,0.0767,0.122,0.0995,0.0658,0.0941,0.115,0.129,0.086,0.0621,0.09,0.1154,0.1129,0.0956
2015-01-01 15:00:00,0.0487,0.0267,0.0182,0.00515,0.001,0.0,0.0444,0.0056,0.0126,0.007,0.0018,0.0076,0.0048,0.0065,0.0028,0.0006,0.0027,0.0067,0.015,0.0276
2015-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0005,0.0051,0.0137,0.0
2015-01-02 07:00:00,0.0409,0.0154,0.0427,0.030100000000000002,0.0347,0.0342,0.0553,0.0403,0.032,0.0551,0.0113,0.0643,0.0236,0.0296,0.0181,0.0183,0.0349,0.0722,0.1179,0.0838
2015-01-02 08:00:00,0.1877,0.1071,0.1714,0.12819999999999998,0.1564,0.1557,0.2237,0.1784,0.139,0.1671,0.055,0.1575,0.0764,0.0866,0.0578,0.0677,0.0923,0.1618,0.2084,0.2252
2015-01-02 09:00:00,0.2962,0.2028,0.256,0.2109,0.2951,0.3219,0.3614,0.3092,0.2874,0.2873,0.1164,0.2457,0.1195,0.1494,0.1024,0.1255,0.1689,0.2121,0.247,0.336
2015-01-02 10:00:00,0.3494,0.2534,0.2728,0.24595,0.3818,0.4049,0.4238,0.3618,0.3587,0.3553,0.1771,0.3241,0.1434,0.1766,0.1343,0.1756,0.2249,0.2144,0.2204,0.367
2015-01-02 11:00:00,0.3585,0.2411,0.2583,0.2455,0.3808,0.3921,0.4277,0.3472,0.3357,0.3548,0.2039,0.3527,0.1713,0.1552,0.1585,0.1771,0.2301,0.2172,0.1546,0.3546
2015-01-02 12:00:00,0.3275,0.2089,0.2334,0.24465,0.3106,0.3185,0.3879,0.2888,0.2541,0.2845,0.1704,0.3228,0.1424,0.1242,0.1305,0.1522,0.1943,0.2173,0.1165,0.3015
2015-01-02 13:00:00,0.2313,0.1293,0.1858,0.16765000000000002,0.2114,0.2059,0.3111,0.2043,0.162,0.1857,0.1264,0.234,0.0931,0.0752,0.0741,0.1033,0.125,0.1576,0.0958,0.2296
2015-01-02 14:00:00,0.0903,0.0627,0.0918,0.06705,0.0838,0.0804,0.1777,0.0948,0.0719,0.068,0.0517,0.1054,0.0342,0.0312,0.0288,0.041,0.0376,0.0726,0.0677,0.1485
2015-01-02 15:00:00,0.0095,0.007,0.0071,0.0015500000000000002,0.0023,0.0004,0.028,0.0069,0.0061,0.0034,0.0015,0.0082,0.0006,0.0007,0.0003,0.0,0.0001,0.0038,0.0106,0.0381
2015-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
