time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.039,0.2505,0.0853,0.0877,0.0637,0.1367,0.0454,0.0508,0.2802,0.1842,0.2313,0.2203,0.2438,0.1862,0.2033,0.1741,0.1847,0.2453,0.167,0.462
2015-01-01 01:00:00,0.0269,0.2754,0.0802,0.09104999999999999,0.0544,0.1279,0.0272,0.0432,0.2639,0.1705,0.2192,0.2028,0.2068,0.1644,0.1882,0.1548,0.1611,0.2485,0.1512,0.4191
2015-01-01 02:00:00,0.0224,0.2818,0.0778,0.10155,0.047,0.1123,0.0161,0.0357,0.2535,0.1573,0.2017,0.1918,0.1832,0.1449,0.1881,0.1443,0.1433,0.2474,0.1339,0.365
2015-01-01 03:00:00,0.0221,0.3082,0.0802,0.10075,0.0408,0.0999,0.0107,0.029,0.2374,0.1446,0.1889,0.1821,0.163,0.1317,0.1851,0.1389,0.138,0.2496,0.1206,0.3307
2015-01-01 04:00:00,0.0207,0.3446,0.0713,0.08549999999999999,0.0337,0.086,0.0054,0.0232,0.2209,0.137,0.181,0.1748,0.1385,0.1285,0.1724,0.1357,0.1333,0.2426,0.1118,0.3025
2015-01-01 05:00:00,0.0217,0.3747,0.0613,0.07100000000000001,0.0271,0.0706,0.0017,0.0179,0.203,0.1324,0.1726,0.1741,0.1182,0.1276,0.1644,0.1316,0.121,0.233,0.1087,0.2553
2015-01-01 06:00:00,0.0234,0.4006,0.0545,0.0593,0.022,0.0545,0.0008,0.0145,0.1794,0.1247,0.1588,0.1706,0.1073,0.1175,0.1703,0.1274,0.1074,0.2268,0.109,0.2068
2015-01-01 07:00:00,0.0234,0.4461,0.0504,0.05165,0.0186,0.0383,0.0015,0.0132,0.1487,0.1122,0.1466,0.1422,0.1091,0.0866,0.1708,0.1058,0.0862,0.2034,0.0988,0.1549
2015-01-01 08:00:00,0.0226,0.443,0.0471,0.04265,0.0151,0.0242,0.0028,0.011,0.1171,0.1131,0.1427,0.1065,0.1042,0.1091,0.1845,0.1085,0.1074,0.1706,0.0782,0.1048
2015-01-01 09:00:00,0.0187,0.4666,0.0472,0.04135,0.0121,0.0161,0.0022,0.0169,0.1205,0.1198,0.1227,0.0968,0.0683,0.1019,0.1752,0.1064,0.1063,0.1371,0.0708,0.0745
2015-01-01 10:00:00,0.0161,0.5847,0.0528,0.0586,0.0085,0.0082,0.002,0.0143,0.1009,0.0914,0.0978,0.0686,0.0484,0.0807,0.1565,0.0987,0.0973,0.1119,0.0568,0.0867
2015-01-01 11:00:00,0.024,0.6786,0.0966,0.09620000000000001,0.0078,0.0037,0.0016,0.0093,0.0774,0.0684,0.0866,0.048,0.0387,0.0631,0.1405,0.0921,0.0838,0.1026,0.0506,0.1694
2015-01-01 12:00:00,0.0347,0.7388,0.1232,0.11019999999999999,0.0071,0.0032,0.0019,0.0064,0.0616,0.0555,0.082,0.0396,0.032,0.0475,0.124,0.0809,0.0644,0.0943,0.0486,0.2722
2015-01-01 13:00:00,0.0397,0.7544,0.1194,0.096,0.0078,0.005,0.0055,0.0049,0.0521,0.048,0.0765,0.0389,0.0247,0.0329,0.1071,0.0693,0.0459,0.0742,0.0424,0.3447
2015-01-01 14:00:00,0.0392,0.726,0.1071,0.08230000000000001,0.0111,0.005,0.0127,0.0057,0.0465,0.0381,0.0668,0.041,0.0137,0.0192,0.0872,0.0557,0.0306,0.0536,0.0327,0.3785
2015-01-01 15:00:00,0.0388,0.6681,0.0831,0.06525,0.0101,0.0038,0.021,0.0104,0.0561,0.04,0.0653,0.0582,0.0076,0.0085,0.0694,0.0458,0.0221,0.0443,0.0303,0.3722
2015-01-01 16:00:00,0.0348,0.6408,0.0534,0.03435,0.0067,0.0035,0.0293,0.018,0.0728,0.052,0.0718,0.0732,0.0068,0.0024,0.0527,0.0362,0.0131,0.0342,0.0374,0.3963
2015-01-01 17:00:00,0.0411,0.6296,0.0482,0.02665,0.007,0.0025,0.0443,0.0223,0.0894,0.0603,0.0775,0.0794,0.0129,0.002,0.0322,0.0282,0.0081,0.0281,0.0487,0.4703
2015-01-01 18:00:00,0.0662,0.6063,0.0497,0.0293,0.0112,0.001,0.0731,0.0228,0.0979,0.0637,0.079,0.0785,0.0187,0.0051,0.0139,0.0235,0.0075,0.0322,0.0594,0.562
2015-01-01 19:00:00,0.0943,0.5477,0.0563,0.03735,0.0171,0.0006,0.0984,0.0213,0.1006,0.0668,0.0771,0.0766,0.0173,0.0196,0.015,0.0247,0.0149,0.0449,0.0726,0.6614
2015-01-01 20:00:00,0.1172,0.4878,0.058,0.04095,0.0227,0.001,0.1162,0.0188,0.1022,0.0688,0.0749,0.0714,0.0145,0.0428,0.0173,0.0282,0.0332,0.0636,0.0948,0.7248
2015-01-01 21:00:00,0.1573,0.467,0.0564,0.04075,0.0298,0.0054,0.1446,0.0167,0.106,0.0757,0.076,0.0647,0.0127,0.0672,0.0149,0.0332,0.0537,0.0824,0.1356,0.7308
2015-01-01 22:00:00,0.1957,0.4958,0.0563,0.045,0.0387,0.015,0.175,0.0126,0.1109,0.0858,0.0814,0.0638,0.0078,0.0905,0.0128,0.0407,0.0774,0.0928,0.1977,0.7444
2015-01-01 23:00:00,0.2196,0.5175,0.0536,0.05185,0.0381,0.0266,0.2059,0.0085,0.1175,0.0889,0.0858,0.0703,0.0044,0.1092,0.0093,0.0526,0.0981,0.1053,0.2619,0.7907
2015-01-02 00:00:00,0.2184,0.5114,0.047,0.05405,0.028,0.0327,0.2207,0.0087,0.1229,0.0865,0.0853,0.0755,0.0046,0.1048,0.0091,0.0592,0.1035,0.1258,0.3064,0.828
2015-01-02 01:00:00,0.1984,0.4633,0.0429,0.05655,0.0208,0.0276,0.207,0.0147,0.1281,0.0778,0.0807,0.0756,0.0043,0.0806,0.0057,0.0504,0.0964,0.1549,0.3504,0.8537
2015-01-02 02:00:00,0.1743,0.5287,0.0469,0.06115,0.0177,0.0259,0.1722,0.0206,0.1329,0.0698,0.0764,0.0714,0.0043,0.0694,0.0034,0.049,0.1099,0.203,0.3897,0.8577
2015-01-02 03:00:00,0.142,0.5146,0.0583,0.06665,0.0168,0.0267,0.1354,0.0251,0.1397,0.0657,0.0765,0.0667,0.0126,0.07,0.0042,0.0578,0.127,0.2677,0.4368,0.8537
2015-01-02 04:00:00,0.1176,0.5223,0.0643,0.05845,0.0105,0.0209,0.0989,0.0256,0.1475,0.0667,0.0817,0.0693,0.0318,0.0793,0.0097,0.0736,0.1532,0.3357,0.4927,0.8307
2015-01-02 05:00:00,0.1031,0.5354,0.0653,0.0513,0.0058,0.0126,0.0749,0.0239,0.1544,0.0728,0.0871,0.0824,0.0439,0.1125,0.0178,0.0999,0.231,0.4187,0.5176,0.8046
2015-01-02 06:00:00,0.0937,0.5004,0.0616,0.0457,0.0029,0.0064,0.055,0.0208,0.1578,0.0834,0.0915,0.1037,0.0479,0.1829,0.026,0.14,0.3685,0.509,0.5168,0.7787
2015-01-02 07:00:00,0.0936,0.5141,0.0653,0.04505,0.0019,0.003,0.0414,0.0166,0.1479,0.0862,0.0917,0.1076,0.0521,0.2456,0.0357,0.1813,0.4965,0.5738,0.499,0.7454
