,FR,CH,AT,SI,GR
2015-01-01 00:00:00,0.0511,0.0511,0.0511,0.0511,0.0511
2015-01-01 01:00:00,0.049,0.049,0.049,0.049,0.049
2015-01-01 02:00:00,0.0391,0.0391,0.0391,0.0391,0.0391
2015-01-01 03:00:00,0.03587,0.03587,0.03587,0.03587,0.03587
2015-01-01 04:00:00,0.0334,0.0334,0.0334,0.0334,0.0334
2015-01-01 05:00:00,0.03657,0.03657,0.03657,0.03657,0.03657
2015-01-01 06:00:00,0.0391,0.0391,0.0391,0.0391,0.0391
2015-01-01 07:00:00,0.04521,0.04521,0.04521,0.04521,0.04521
2015-01-01 08:00:00,0.04,0.04,0.04,0.04,0.04
2015-01-01 09:00:00,0.0408,0.0408,0.0408,0.0408,0.0408
2015-01-01 10:00:00,0.0388,0.0388,0.0388,0.0388,0.0388
2015-01-01 11:00:00,0.0388,0.0388,0.0388,0.0388,0.0388
2015-01-01 12:00:00,0.03885,0.03885,0.03885,0.03885,0.03885
2015-01-01 13:00:00,0.0388,0.0388,0.0388,0.0388,0.0388
2015-01-01 14:00:00,0.03885,0.03885,0.03885,0.03885,0.03885
2015-01-01 15:00:00,0.04995,0.04995,0.04995,0.04995,0.04995
2015-01-01 16:00:00,0.05469,0.05469,0.05469,0.05469,0.05469
2015-01-01 17:00:00,0.0619,0.0619,0.0619,0.0619,0.0619
2015-01-01 18:00:00,0.0582,0.0582,0.0582,0.0582,0.0582
2015-01-01 19:00:00,0.05444,0.05444,0.05444,0.05444,0.05444
2015-01-01 20:00:00,0.05222,0.05222,0.05222,0.05222,0.05222
2015-01-01 21:00:00,0.05012,0.05012,0.05012,0.05012,0.05012
2015-01-01 22:00:00,0.046,0.046,0.046,0.046,0.046
2015-01-01 23:00:00,0.043,0.043,0.043,0.043,0.043
2015-01-02 00:00:00,0.0485,0.0485,0.0485,0.0485,0.0485
2015-01-02 01:00:00,0.0391,0.0391,0.0391,0.0391,0.0391
2015-01-02 02:00:00,0.037,0.037,0.037,0.037,0.037
2015-01-02 03:00:00,0.033,0.033,0.033,0.033,0.033
2015-01-02 04:00:00,0.03419,0.03419,0.03419,0.03419,0.03419
2015-01-02 05:00:00,0.03885,0.03885,0.03885,0.03885,0.03885
2015-01-02 06:00:00,0.05135,0.05135,0.05135,0.05135,0.05135
2015-01-02 07:00:00,0.05615,0.05615,0.05615,0.05615,0.05615
2015-01-02 08:00:00,0.06398,0.06398,0.06398,0.06398,0.06398
2015-01-02 09:00:00,0.06398,0.06398,0.06398,0.06398,0.06398
2015-01-02 10:00:00,0.06475,0.06475,0.06475,0.06475,0.06475
2015-01-02 11:00:00,0.06304,0.06304,0.06304,0.06304,0.06304
2015-01-02 12:00:00,0.05792,0.05792,0.05792,0.05792,0.05792
2015-01-02 13:00:00,0.05792,0.05792,0.05792,0.05792,0.05792
2015-01-02 14:00:00,0.0661,0.0661,0.0661,0.0661,0.0661
2015-01-02 15:00:00,0.06996,0.06996,0.06996,0.06996,0.06996
2015-01-02 16:00:00,0.07036,0.07036,0.07036,0.07036,0.07036
2015-01-02 17:00:00,0.075,0.075,0.075,0.075,0.075
