,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,-76.47,-2.04,-114.21,-7.09,-27.66,-12.04,-22.03,-26.92,-29.15,-6.28,-6.09,-81.54,-7.49,-44.9,-2.55,-28.38,-5.57,-24.67,-41.5,-44.45
2015-01-01 01:00:00,-61.18,-1.64,-91.37,-5.67,-22.13,-9.63,-17.63,-21.54,-23.32,-5.03,-4.87,-65.23,-5.99,-35.92,-2.04,-22.7,-4.46,-19.73,-33.2,-35.56
2015-01-01 02:00:00,-42.06,-1.12,-62.82,-3.9,-15.21,-6.62,-12.12,-14.81,-16.03,-3.46,-3.35,-44.85,-4.12,-24.69,-1.4,-15.61,-3.07,-13.57,-22.82,-24.45
2015-01-01 03:00:00,-19.12,-0.51,-28.55,-1.77,-6.91,-3.01,-5.51,-6.73,-7.29,-1.57,-1.52,-20.39,-1.87,-11.22,-0.64,-7.09,-1.39,-6.17,-10.37,-11.11
2015-01-01 04:00:00,-15.29,-0.41,-22.84,-1.42,-5.53,-2.41,-4.41,-5.38,-5.83,-1.26,-1.22,-16.31,-1.5,-8.98,-0.51,-5.68,-1.11,-4.93,-8.3,-8.89
2015-01-01 05:00:00,-11.47,-0.31,-17.13,-1.06,-4.15,-1.81,-3.31,-4.04,-4.37,-0.94,-0.91,-12.23,-1.12,-6.73,-0.38,-4.26,-0.84,-3.7,-6.22,-6.67
2015-01-01 06:00:00,-34.41,-0.92,-51.4,-3.19,-12.45,-5.42,-9.92,-12.11,-13.12,-2.83,-2.74,-36.69,-3.37,-20.2,-1.15,-12.77,-2.51,-11.1,-18.67,-20
2015-01-01 07:00:00,-122.36,-3.27,-182.74,-11.34,-44.25,-19.26,-35.25,-43.07,-46.64,-10.05,-9.74,-130.47,-11.99,-71.84,-4.08,-45.41,-8.92,-39.47,-66.4,-71.12
2015-01-01 08:00:00,-256.18,-6.85,-382.62,-23.75,-92.66,-40.32,-73.81,-90.19,-97.66,-21.05,-20.39,-273.16,-25.1,-150.41,-8.54,-95.07,-18.67,-82.64,-139.02,-148.92
2015-01-01 09:00:00,-409.13,-10.94,-611.05,-37.92,-147.98,-64.4,-117.88,-144.03,-155.96,-33.62,-32.56,-436.25,-40.08,-240.21,-13.64,-151.82,-29.82,-131.97,-222.02,-237.82
2015-01-01 10:00:00,-443.54,-11.86,-662.44,-41.11,-160.42,-69.81,-127.79,-156.15,-169.08,-36.45,-35.3,-472.94,-43.46,-260.42,-14.78,-164.59,-32.33,-143.07,-240.7,-257.83
