time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,SICI,SARD
2015-01-01 00:00:00,0.0333,0.0387,0.1661,0.121,0.1712,0.1018,0.0338,0.0313,0.1417,0.0837,0.0442,0.0815,0.0978,0.1024,0.1814,0.1581,0.1251,0.1125,0.0625,0.0129
2015-01-01 01:00:00,0.0326,0.0441,0.2097,0.13245,0.1982,0.1039,0.0351,0.0483,0.1475,0.0839,0.0585,0.0655,0.0997,0.1181,0.1852,0.1733,0.1452,0.1193,0.0703,0.0114
2015-01-01 02:00:00,0.0401,0.0485,0.2263,0.13735,0.2123,0.1061,0.0437,0.0562,0.1533,0.0877,0.0753,0.0566,0.1062,0.1413,0.1965,0.1959,0.1717,0.1168,0.0779,0.0102
2015-01-01 03:00:00,0.0489,0.0462,0.221,0.13145,0.2148,0.1044,0.0566,0.0576,0.1601,0.0962,0.0821,0.0581,0.1144,0.1559,0.2026,0.2028,0.1817,0.1134,0.0771,0.0102
2015-01-01 04:00:00,0.0561,0.0415,0.2085,0.11975,0.2125,0.1003,0.0722,0.0568,0.1632,0.1056,0.0826,0.0641,0.127,0.1654,0.2062,0.1978,0.1818,0.1082,0.0694,0.0122
2015-01-01 05:00:00,0.061,0.0361,0.2006,0.11130000000000001,0.2067,0.093,0.0851,0.0568,0.1546,0.1116,0.0814,0.0693,0.1421,0.1661,0.2093,0.1862,0.1816,0.106,0.057,0.015
2015-01-01 06:00:00,0.0695,0.0293,0.2003,0.10505,0.1974,0.0838,0.0956,0.0581,0.1427,0.1137,0.079,0.0754,0.151,0.1619,0.2102,0.1723,0.1941,0.1084,0.043,0.0166
2015-01-01 07:00:00,0.0787,0.0245,0.2027,0.10264999999999999,0.183,0.0706,0.1041,0.0614,0.1325,0.1162,0.0803,0.0777,0.1418,0.1257,0.1908,0.1365,0.1653,0.1003,0.0305,0.0172
2015-01-01 08:00:00,0.0669,0.0234,0.1774,0.10385,0.1385,0.056,0.0925,0.0566,0.1077,0.0914,0.082,0.0462,0.1237,0.1374,0.1989,0.1449,0.1555,0.1003,0.0163,0.0098
2015-01-01 09:00:00,0.0392,0.0227,0.1519,0.08224999999999999,0.0904,0.0371,0.0632,0.0548,0.0917,0.0839,0.0829,0.0169,0.1266,0.1631,0.2704,0.1782,0.1555,0.103,0.0118,0.002
2015-01-01 10:00:00,0.0307,0.0283,0.1551,0.05505,0.0715,0.0205,0.0539,0.0733,0.0772,0.0775,0.0773,0.0084,0.1197,0.1785,0.3114,0.2195,0.1852,0.1141,0.0118,0.0017
2015-01-01 11:00:00,0.0286,0.0323,0.1177,0.04435,0.0453,0.0129,0.0503,0.0706,0.0663,0.0761,0.076,0.0062,0.1197,0.2115,0.3514,0.2865,0.2247,0.1306,0.0158,0.0014
2015-01-01 12:00:00,0.0256,0.0409,0.0946,0.041800000000000004,0.0326,0.0096,0.0481,0.0658,0.0631,0.0837,0.0785,0.0128,0.1245,0.2565,0.3757,0.3583,0.2676,0.1478,0.0248,0.0015
2015-01-01 13:00:00,0.0211,0.0572,0.0805,0.03705,0.0275,0.0084,0.0431,0.0618,0.0647,0.0926,0.0794,0.0223,0.1235,0.2869,0.3744,0.4025,0.3031,0.1619,0.0368,0.0018
2015-01-01 14:00:00,0.0176,0.0915,0.0766,0.0528,0.0268,0.0166,0.0404,0.0579,0.0654,0.0868,0.0751,0.0381,0.1068,0.2692,0.3232,0.3817,0.2875,0.1557,0.0498,0.0031
2015-01-01 15:00:00,0.0205,0.0928,0.0836,0.0774,0.0317,0.0376,0.0456,0.0676,0.0945,0.111,0.0807,0.0843,0.1067,0.2299,0.2894,0.333,0.2699,0.1351,0.0596,0.0096
2015-01-01 16:00:00,0.026,0.0519,0.0901,0.1035,0.0436,0.0701,0.049,0.0746,0.1408,0.1427,0.0865,0.1499,0.1316,0.1839,0.3103,0.3035,0.2694,0.1209,0.0596,0.0122
2015-01-01 17:00:00,0.0332,0.0214,0.0933,0.10935,0.0574,0.1132,0.0546,0.0755,0.1811,0.154,0.0909,0.1916,0.1604,0.1682,0.3322,0.2881,0.2515,0.1124,0.0525,0.0099
2015-01-01 18:00:00,0.0449,0.0147,0.0905,0.10405,0.0678,0.1517,0.0641,0.0724,0.2078,0.1541,0.0977,0.2013,0.1917,0.1813,0.3606,0.2917,0.2375,0.1055,0.0436,0.0096
2015-01-01 19:00:00,0.0616,0.0199,0.0807,0.0905,0.0766,0.1753,0.0786,0.0671,0.2299,0.1624,0.1037,0.2165,0.2167,0.202,0.38,0.3027,0.2319,0.0955,0.0356,0.013
2015-01-01 20:00:00,0.0665,0.0318,0.0684,0.0809,0.0847,0.1821,0.0877,0.0636,0.2419,0.1715,0.1045,0.2279,0.235,0.2224,0.3903,0.3059,0.2369,0.087,0.0301,0.0194
2015-01-01 21:00:00,0.067,0.0454,0.0574,0.08595,0.0931,0.1821,0.0945,0.0559,0.244,0.1717,0.0922,0.2286,0.2456,0.2392,0.3939,0.3076,0.2419,0.0861,0.0285,0.0277
2015-01-01 22:00:00,0.0767,0.0545,0.0481,0.09905,0.0972,0.1758,0.1094,0.0459,0.2397,0.1657,0.0775,0.2241,0.2412,0.2493,0.385,0.3043,0.2461,0.0906,0.03,0.0361
2015-01-01 23:00:00,0.0851,0.0591,0.0416,0.11044999999999999,0.0971,0.1686,0.1228,0.0356,0.2358,0.1605,0.0718,0.2182,0.2264,0.2495,0.3674,0.2964,0.249,0.0956,0.0332,0.0437
2015-01-02 00:00:00,0.0888,0.0574,0.0361,0.1212,0.0971,0.1659,0.1333,0.0285,0.2363,0.1597,0.0726,0.2135,0.2077,0.2432,0.3446,0.2856,0.2503,0.0988,0.0379,0.0484
2015-01-02 01:00:00,0.0864,0.0525,0.0311,0.1271,0.0943,0.1632,0.1394,0.0243,0.2402,0.1591,0.0772,0.207,0.193,0.2357,0.3312,0.2781,0.2467,0.1021,0.0451,0.0504
2015-01-02 02:00:00,0.0852,0.0466,0.0281,0.1286,0.0891,0.162,0.1398,0.021,0.2441,0.1583,0.0842,0.1972,0.1806,0.2317,0.3254,0.2761,0.2479,0.1091,0.0544,0.052
2015-01-02 03:00:00,0.0824,0.047,0.0267,0.11035,0.0761,0.1417,0.1322,0.0202,0.2426,0.1633,0.0935,0.1913,0.1794,0.2311,0.3186,0.2741,0.2551,0.116,0.0628,0.0509
2015-01-02 04:00:00,0.0782,0.0515,0.0281,0.08349999999999999,0.0652,0.1224,0.1241,0.0211,0.2411,0.1731,0.1031,0.1916,0.1951,0.2382,0.3193,0.2759,0.2632,0.1208,0.0678,0.0477
2015-01-02 05:00:00,0.076,0.0606,0.0347,0.05775,0.0642,0.1037,0.1218,0.0225,0.2418,0.1811,0.1099,0.2003,0.2188,0.2496,0.3216,0.2781,0.273,0.1319,0.0699,0.0449
2015-01-02 06:00:00,0.0771,0.0744,0.0461,0.0393,0.0715,0.082,0.1215,0.024,0.2464,0.187,0.1174,0.2089,0.2408,0.2558,0.3199,0.2751,0.2757,0.141,0.0668,0.0405
2015-01-02 07:00:00,0.079,0.1004,0.0583,0.030449999999999998,0.0844,0.0699,0.1246,0.026,0.2382,0.1741,0.1285,0.1803,0.2279,0.2132,0.2787,0.2408,0.2171,0.129,0.0528,0.0321
