,NORD,CNOR,CSUD,SUD,SARD,SICI
2015-01-01 00:00:00,-21889776.408864688,-3858838.3013380626,-7074540.876093149,-3653768.9155027373,-1323105.255464847,-2743060.738764701
2015-01-01 01:00:00,-21559589.424621236,-3782746.204642771,-6784090.055967182,-3448344.6946844268,-1292625.2757781346,-2636401.226324721
2015-01-01 02:00:00,-22118703.346208986,-3843724.4292737683,-6794163.663401398,-3475220.698247296,-1318347.8381893164,-2618969.757866939
2015-01-01 03:00:00,-24402435.253862143,-4225444.444906512,-7276548.314499978,-3748605.8329505953,-1415999.4751945466,-2831166.3122395733
2015-01-01 04:00:00,-28572128.38979916,-4883385.478759761,-8281417.554036869,-4279257.663417787,-1595656.8763630125,-3188798.561403371
2015-01-01 05:00:00,-31800581.22932473,-5379192.767516967,-9051495.213643143,-4778462.187290352,-1741209.0430834687,-3452718.972118336
2015-01-01 06:00:00,-30652539.08180304,-5155057.571476911,-8718826.133215351,-4513568.819011713,-1704764.4298990706,-3300953.453351787
2015-01-01 07:00:00,-28485149.92248314,-4880221.434210938,-8440792.456306014,-4455571.472271537,-1652394.9875069084,-3286588.0935477917
2015-01-01 08:00:00,-28789939.05308224,-4989978.4136265,-8970492.20587505,-4859594.394710871,-1719970.8149999778,-3568235.3765641954
2015-01-01 09:00:00,-29813214.910586994,-5195605.135158178,-9463741.526077379,-5034839.862080853,-1792030.9776977322,-3799657.742091412
2015-01-01 10:00:00,-30937897.944612864,-5263055.1277355505,-9967707.082891157,-5202457.210042649,-1856281.418825345,-4003246.4283718136
2015-01-01 11:00:00,-31136052.18055838,-5295295.512540113,-10176915.908034004,-5401471.721246658,-1871125.9406623272,-3817275.6468112664
2015-01-01 12:00:00,-30547291.53023482,-5107251.488956574,-9911434.460114084,-5136074.145283368,-1781667.5182495096,-3722028.796678055
2015-01-01 13:00:00,-30443975.032969028,-5142616.255152657,-9405867.136987755,-4915588.854071318,-1714968.8965123766,-3757197.5211931835
2015-01-01 14:00:00,-30949545.53491256,-5366573.367051641,-9444282.036861371,-4905790.835193349,-1750643.6513352566,-3711052.0564666702
2015-01-01 15:00:00,-32152445.677595146,-5657369.012057191,-9655740.060392868,-4955662.017040188,-1789562.081485052,-3698779.086936125
2015-01-01 16:00:00,-34820682.15971577,-6131399.0932316445,-10486928.709292687,-5251956.673675226,-1901182.4549446343,-3972046.4536704794
2015-01-01 17:00:00,-34295335.01310307,-6089651.16409471,-10344760.160712227,-5145958.0944482125,-1912491.5945404496,-3924683.9890875425
2015-01-01 18:00:00,-32784737.83956008,-5894147.887639021,-9990526.107954942,-5022875.753362022,-1854265.6092739475,-3820598.6750291227
2015-01-01 19:00:00,-29989702.5693685,-5424684.493886477,-9384427.747539962,-4724356.083786797,-1756727.9575684883,-3644253.1192438137
2015-01-01 20:00:00,-27219974.60267201,-4928594.098352997,-8703425.242721027,-4497280.938798478,-1623097.0537400448,-3393557.132472825
2015-01-01 21:00:00,-20187927.388703395,-3706595.0848799236,-6794146.54603225,-3469341.1929408493,-1273685.8148629796,-2705536.1440717075
2015-01-01 22:00:00,-15804491.862942686,-2906964.2357722395,-5450979.415253874,-2789080.550148892,-1048472.2746926734,-2252684.7983259414
2015-01-01 23:00:00,-16965442.366266783,-2955046.5643630903,-5453115.649901788,-2724007.8190021915,-1032298.9757762253,-2190943.506906055
2015-01-02 00:00:00,-16445282.399830582,-2824425.1218264103,-5154442.635224594,-2584217.7417082493,-985075.2430899431,-2049884.7001714432
2015-01-02 01:00:00,-16156356.328591166,-2742136.5437148414,-4952961.891798014,-2513060.035787113,-970391.0966524527,-1949240.7704399307
2015-01-02 02:00:00,-16197412.884486564,-2745205.3748220787,-4889516.587692459,-2529754.1981084505,-962964.3862356297,-1909059.571065593
2015-01-02 03:00:00,-16860582.813846648,-2843381.4644815307,-5029913.174096802,-2552489.756825666,-985650.7497296274,-1946955.0806653933
2015-01-02 04:00:00,-18829478.945155263,-3130105.956635343,-5553933.113878438,-2823275.9563227934,-1070120.0472536148,-2101577.9879285186
2015-01-02 05:00:00,-20606336.387493376,-3375999.242759063,-6000017.639526167,-3031603.0089978185,-1128949.15384748,-2204030.4877694612
2015-01-02 06:00:00,-20050762.941600177,-3270249.550685367,-5822442.659945425,-2823129.3079641666,-1107884.1854330406,-2114908.028651781
2015-01-02 07:00:00,-19977188.645357817,-3328918.6731813103,-6176510.565181552,-3225515.5380812655,-1145227.5814804265,-2247773.8611276876
2015-01-02 08:00:00,-21766936.71347289,-3656653.015068404,-7043004.840630277,-3631885.7884842358,-1233293.8389254995,-2526104.741990678
2015-01-02 09:00:00,-22278282.132281344,-3813183.961857652,-7355395.99622888,-3795078.268116888,-1294310.9914610812,-2639701.999005386
2015-01-02 10:00:00,-22886192.76544811,-3819759.682388075,-7419753.025330106,-3793242.701118916,-1298935.7329750876,-2642416.6610473003
2015-01-02 11:00:00,-22341886.235552806,-3699227.6177012464,-7397089.794749472,-3758126.1886783037,-1295315.2098837444,-2631342.698020934
2015-01-02 12:00:00,-21184090.18039237,-3493398.6013661055,-7180494.260714036,-3618826.513724722,-1243520.260608068,-2600696.9793716376
2015-01-02 13:00:00,-21387432.48687343,-3554358.0576090617,-7109620.649776143,-3594870.432087491,-1196905.8114459247,-2666197.338224761
2015-01-02 14:00:00,-21854846.70082338,-3802186.295528711,-7108121.431144145,-3503994.7960408963,-1190973.4916601398,-2734039.635451316
2015-01-02 15:00:00,-22518731.819533613,-3966683.202365355,-7190234.504239273,-3608315.6333815884,-1211220.202553061,-2788497.1042925618
2015-01-02 16:00:00,-24615292.077002898,-4422630.274380983,-7954306.233743855,-4011260.1756032095,-1327213.3786729798,-3086851.011411023
2015-01-02 17:00:00,-24125518.561952963,-4354668.059229291,-7881232.189465427,-3955995.8200271637,-1354628.173067907,-3105392.517899241
2015-01-02 18:00:00,-23092389.234264784,-4197728.027912696,-7756665.599957445,-3913755.7140496685,-1348545.1766852606,-3100254.5809400445
2015-01-02 19:00:00,-21285243.469147295,-3749155.5501228995,-7224493.537760798,-3811949.4901178814,-1297871.4226308118,-2976455.3940744223
2015-01-02 20:00:00,-20162318.552613534,-3532654.1911410796,-6796001.5346233,-3536753.919062696,-1228433.445441009,-2822812.6175381606
2015-01-02 21:00:00,-18127921.207018904,-3190759.443238831,-6237178.642494882,-3171845.6938998564,-1144958.996718555,-2585181.4972436805
2015-01-02 22:00:00,-19022350.39925514,-3363538.8841481013,-6198876.846564647,-3241092.023267659,-1167908.3306107724,-2539994.349201259
2015-01-02 23:00:00,-18239779.225267723,-3173431.4684150917,-5742437.446687835,-2974744.6589238667,-1094812.9410667699,-2328465.1727247573
2015-01-03 00:00:00,-17278255.19636596,-3003061.520971622,-5325078.475430532,-2773140.3692688523,-1037171.9513223394,-2149629.7130153943
2015-01-03 01:00:00,-16902667.314417336,-2940172.9408609443,-5108599.64397644,-2667869.151523008,-1013757.2082883306,-2044473.2887376365
2015-01-03 02:00:00,-17156701.62458952,-2985726.2685239445,-5083545.826056151,-2665724.2512278585,-1019830.5735609164,-2018169.9765557463
2015-01-03 03:00:00,-18302693.65358322,-3143080.5808496308,-5322424.7809136715,-2820957.981632265,-1067071.857218108,-2122250.6268673693
2015-01-03 04:00:00,-21205657.23888812,-3601676.141901779,-6115947.069822625,-3184468.636333719,-1197828.6141812594,-2410471.0890368763
2015-01-03 05:00:00,-23758611.140692294,-4016002.25811293,-6833634.846330119,-3526685.663053058,-1311557.9503718645,-2630842.988462443
2015-01-03 06:00:00,-23889590.719063167,-4051746.797506091,-6840558.811441366,-3494185.2081666193,-1330335.5796297202,-2617046.0310186283
2015-01-03 07:00:00,-23345327.51751326,-4046743.8318928657,-6942319.276877479,-3685328.6691814633,-1338027.1550204414,-2739141.141712154
2015-01-03 08:00:00,-24619678.192854133,-4331673.900076063,-7531578.900741912,-4008891.3828725163,-1398073.525637801,-3018956.2652596533
2015-01-03 09:00:00,-25090399.896543026,-4429498.690580836,-7536917.414556843,-4131620.071698749,-1408214.307287729,-2990037.058707614
2015-01-03 10:00:00,-24916654.9109728,-4451416.370216536,-7415339.353313361,-4076120.7054164154,-1421844.1555647661,-2926551.6375448005
2015-01-03 11:00:00,-24226772.77919974,-4374672.882615522,-7588038.114575,-4007703.444328831,-1391354.2382078522,-2853537.401598487
2015-01-03 12:00:00,-23512750.83116922,-4156821.848954875,-7466555.432843159,-4023701.868588663,-1353082.0883714978,-2842114.4288686626
2015-01-03 13:00:00,-23115482.702870276,-4090791.7451761495,-7499986.135517352,-3996883.1588734365,-1379280.5575764626,-2846438.1431953255
2015-01-03 14:00:00,-23544948.959156416,-4264685.420813856,-7734651.505047032,-4009821.5954710348,-1389234.5829871965,-2976606.897671186
2015-01-03 15:00:00,-24331336.828772653,-4533717.65111735,-8053015.3950661775,-4244344.686808701,-1381995.6518540261,-3063971.8211536147
2015-01-03 16:00:00,-26973442.81631858,-4923001.142572952,-8738983.482277106,-4835265.353531977,-1492042.3018450872,-3411208.8337051445
2015-01-03 17:00:00,-27075509.726614345,-4951217.2482195515,-8672839.789748551,-4870339.2809639415,-1520722.1812360634,-3430579.9977999525
2015-01-03 18:00:00,-25916034.303446725,-4835660.779277532,-8489776.534886613,-4781321.659299776,-1491358.0705267605,-3389525.9424197576
2015-01-03 19:00:00,-23722398.61783727,-4413312.167190598,-7871552.13737001,-4602104.995780644,-1426110.3398251573,-3204063.9112770744
2015-01-03 20:00:00,-21757733.458714966,-4087399.609436016,-7255167.626762048,-4203074.334208486,-1316754.0649966246,-2940360.2282399745
2015-01-03 21:00:00,-20261679.81149147,-3793331.357486127,-6781619.542400554,-3880715.2893622685,-1241197.8512257778,-2767700.2733143866
2015-01-03 22:00:00,-17511335.29234521,-3252565.9332874296,-5942492.508256317,-3478644.262521689,-1104593.0579599538,-2463726.6418280755
2015-01-03 23:00:00,-16959462.005672913,-3088642.6305662463,-5602132.453441639,-3204317.676151678,-1058739.4191423636,-2313487.2868435318
2015-01-04 00:00:00,-15935618.823540116,-2902786.0983864013,-5193974.821696831,-3027130.735879866,-1003242.6983040079,-2156950.4952838304
2015-01-04 01:00:00,-15563383.703407673,-2819280.6387896123,-4950986.748477127,-2905854.9555636006,-972406.6252758994,-2052781.3890031874
2015-01-04 02:00:00,-15832770.69274575,-2828260.0556640252,-4912433.160077687,-2890179.087074741,-975913.7301175952,-2003235.5755955721
2015-01-04 03:00:00,-16963033.739332687,-2984389.4482201855,-5134901.861621836,-2998042.871314785,-1037372.8101374846,-2098767.111953397
2015-01-04 04:00:00,-19387858.650891162,-3376685.5058805533,-5741891.826561519,-3320110.5184536725,-1158334.4543820347,-2325779.7695917943
2015-01-04 05:00:00,-21135764.98098386,-3644343.550327295,-6243415.224437786,-3525836.48675806,-1244289.1046030775,-2467056.370758687
2015-01-04 06:00:00,-20561772.76902872,-3566150.593385583,-5980451.981248559,-3362831.7226128574,-1221423.2683188438,-2358348.6097236364
2015-01-04 07:00:00,-19730970.267976906,-3512721.3367552334,-5948971.9965562,-3492150.4146923097,-1222730.9711789708,-2485772.5154642635
