,NORD,CNOR,CSUD,SUD,SARD,SICI
2015-01-01 00:00:00,-24524212.518338926,-4297860.366072929,-7759767.343351351,-4010644.919999217,-1446469.7861081755,-2998452.264932991
2015-01-01 01:00:00,-24010420.111144803,-4191170.89349502,-7421560.081197626,-3780348.443022985,-1407391.9904621306,-2873993.395351074
2015-01-01 02:00:00,-24170601.600000717,-4185668.0447464907,-7327869.903823217,-3753182.7440198315,-1414433.472643135,-2817888.0101233977
2015-01-01 03:00:00,-25837204.834259175,-4464545.139487561,-7649737.1298860535,-3942968.0470820176,-1483186.4057222828,-2970257.9347388432
2015-01-01 04:00:00,-29534397.233900607,-5043745.129634635,-8531707.199788747,-4409612.185624404,-1640717.6936963145,-3282084.2963640527
2015-01-01 05:00:00,-32622293.339506187,-5516128.996842151,-9265225.538830377,-4889776.078590775,-1779687.91468408,-3532378.641652736
2015-01-01 06:00:00,-31681873.781853527,-5326593.576352579,-8986559.85338617,-4653008.4712858815,-1752965.7856616753,-3400740.788880049
2015-01-01 07:00:00,-29443318.500400554,-5039897.786174291,-8690015.607827118,-4585370.548624725,-1697263.7988881636,-3379476.334245975
2015-01-01 08:00:00,-29910951.344293155,-5176792.255461823,-9262071.602808228,-5011453.22554,-1772465.219648203,-3676910.261058891
2015-01-01 09:00:00,-31005736.95920744,-5394335.895849005,-9773920.872452488,-5196385.81965982,-1847874.0183700079,-3915265.034631633
2015-01-01 10:00:00,-32374491.108970545,-5502459.717936896,-10341370.219134971,-5397066.457440659,-1923553.7435589172,-4142514.8355306652
2015-01-01 11:00:00,-32829234.098569352,-5577459.964714005,-10617318.717550486,-5630839.970342679,-1950413.721397644,-3981418.6725488217
2015-01-01 12:00:00,-32730132.733786177,-5471016.41334592,-10479199.440678993,-5431774.48296556,-1883884.9072294885,-3933641.1202235534
2015-01-01 13:00:00,-33406900.354585048,-5636380.210054826,-10176534.849740148,-5316963.913651261,-1853715.8148065316,-4044433.9499260113
